"# Channel 3"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -6.95490984541E-008, +0.00000000000E+000
+2.17481250000E+006, -5.04107395534E-008, +0.00000000000E+000
+4.04962500000E+006, -3.08221961472E-008, +0.00000000000E+000
+5.92443750000E+006, -2.09195697415E-008, +0.00000000000E+000
+7.79925000000E+006, -1.51146347509E-008, +0.00000000000E+000
+9.67406250000E+006, -1.11626944745E-008, +0.00000000000E+000
+1.15488750000E+007, -8.51971673791E-009, +0.00000000000E+000
+1.34236875000E+007, -6.57709440822E-009, +0.00000000000E+000
+1.52985000000E+007, -5.00148092829E-009, +0.00000000000E+000
+1.71733125000E+007, -3.63100480145E-009, +0.00000000000E+000
+1.90481250000E+007, -2.23364030213E-009, +0.00000000000E+000
+2.09229375000E+007, -5.01226640877E-010, +0.00000000000E+000
+2.27977500000E+007, +2.40065319000E-009, +0.00000000000E+000
+2.46725625000E+007, +6.98483357541E-009, +0.00000000000E+000
+2.65473750000E+007, +1.12315724756E-008, +0.00000000000E+000
+2.84221875000E+007, +1.27075889122E-008, +0.00000000000E+000
+3.02970000000E+007, +1.37026809979E-008, +0.00000000000E+000
+3.21718125000E+007, +1.41277991442E-008, +0.00000000000E+000
+3.40466250000E+007, +1.44723834781E-008, +0.00000000000E+000
+3.59214375000E+007, +1.47002281015E-008, +0.00000000000E+000
+3.77962500000E+007, +1.48756576962E-008, +0.00000000000E+000
+3.96710625000E+007, +1.49905418836E-008, +0.00000000000E+000
+4.15458750000E+007, +1.50496194053E-008, +0.00000000000E+000
+4.34206875000E+007, +1.51003976970E-008, +0.00000000000E+000
+4.52955000000E+007, +1.51425357657E-008, +0.00000000000E+000
+4.71703125000E+007, +1.51932642561E-008, +0.00000000000E+000
+4.90451250000E+007, +1.52590850674E-008, +0.00000000000E+000
+5.09199375000E+007, +1.52911277397E-008, +0.00000000000E+000
+5.27947500000E+007, +1.52869712685E-008, +0.00000000000E+000
+5.46695625000E+007, +1.52997135705E-008, +0.00000000000E+000
+5.65443750000E+007, +1.52382101757E-008, +0.00000000000E+000
