"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -1.49852935691E+001, +0.00000000000E+000
+2.17481250000E+006, -1.72281370108E+001, +0.00000000000E+000
+4.04962500000E+006, -1.83747304656E+001, +0.00000000000E+000
+5.92443750000E+006, -1.93745650229E+001, +0.00000000000E+000
+7.79925000000E+006, -2.03778640288E+001, +0.00000000000E+000
+9.67406250000E+006, -2.14674249266E+001, +0.00000000000E+000
+1.15488750000E+007, -2.27162112574E+001, +0.00000000000E+000
+1.34236875000E+007, -2.42750364237E+001, +0.00000000000E+000
+1.52985000000E+007, -2.66961242424E+001, +0.00000000000E+000
+1.71733125000E+007, -2.88704717547E+001, +0.00000000000E+000
+1.90481250000E+007, -2.95874756614E+001, +0.00000000000E+000
+2.09229375000E+007, -2.98350569746E+001, +0.00000000000E+000
+2.27977500000E+007, -2.98602491094E+001, +0.00000000000E+000
+2.46725625000E+007, -3.04243483172E+001, +0.00000000000E+000
+2.65473750000E+007, -3.08530634740E+001, +0.00000000000E+000
+2.84221875000E+007, -3.12304366385E+001, +0.00000000000E+000
+3.02970000000E+007, -3.15626368976E+001, +0.00000000000E+000
+3.21718125000E+007, -3.18576152234E+001, +0.00000000000E+000
+3.40466250000E+007, -3.21160809948E+001, +0.00000000000E+000
+3.59214375000E+007, -3.23353115475E+001, +0.00000000000E+000
+3.77962500000E+007, -3.25302524043E+001, +0.00000000000E+000
+3.96710625000E+007, -3.26817711259E+001, +0.00000000000E+000
+4.15458750000E+007, -3.28118443513E+001, +0.00000000000E+000
+4.34206875000E+007, -3.29048428854E+001, +0.00000000000E+000
+4.52955000000E+007, -3.29648163980E+001, +0.00000000000E+000
+4.71703125000E+007, -3.29905183085E+001, +0.00000000000E+000
+4.90451250000E+007, -3.29729419434E+001, +0.00000000000E+000
+5.09199375000E+007, -3.28937998312E+001, +0.00000000000E+000
+5.27947500000E+007, -3.27317376211E+001, +0.00000000000E+000
+5.46695625000E+007, -3.23560825149E+001, +0.00000000000E+000
+5.65443750000E+007, -3.20980522944E+001, +0.00000000000E+000
+5.84191875000E+007, -3.23995493479E+001, +0.00000000000E+000
