"# Channel 2"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -7.45447620985E+001, +0.00000000000E+000
+2.17481250000E+006, -4.11009430422E+001, +0.00000000000E+000
+4.04962500000E+006, -3.23979905207E+001, +0.00000000000E+000
+5.92443750000E+006, -3.03598621491E+001, +0.00000000000E+000
+7.79925000000E+006, -3.09827640113E+001, +0.00000000000E+000
+9.67406250000E+006, -3.30775170076E+001, +0.00000000000E+000
+1.15488750000E+007, -3.59752899625E+001, +0.00000000000E+000
+1.34236875000E+007, -3.93233721546E+001, +0.00000000000E+000
+1.52985000000E+007, -4.31128911743E+001, +0.00000000000E+000
+1.71733125000E+007, -4.73509086053E+001, +0.00000000000E+000
+1.90481250000E+007, -5.22757375375E+001, +0.00000000000E+000
+2.09229375000E+007, -5.83812482243E+001, +0.00000000000E+000
+2.27977500000E+007, -6.68342111639E+001, +0.00000000000E+000
+2.46725625000E+007, -7.19947252954E+001, +0.00000000000E+000
+2.65473750000E+007, -7.99200046376E+001, +0.00000000000E+000
+2.84221875000E+007, -8.87548348283E+001, +0.00000000000E+000
+3.02970000000E+007, -9.82220936867E+001, +0.00000000000E+000
+3.21718125000E+007, -1.07988934280E+002, +0.00000000000E+000
+3.40466250000E+007, -1.17978960363E+002, +0.00000000000E+000
+3.59214375000E+007, -1.28136590051E+002, +0.00000000000E+000
+3.77962500000E+007, -1.38402308248E+002, +0.00000000000E+000
+3.96710625000E+007, -1.48745332375E+002, +0.00000000000E+000
+4.15458750000E+007, -1.59139402891E+002, +0.00000000000E+000
+4.34206875000E+007, -1.69564270897E+002, +0.00000000000E+000
+4.52955000000E+007, +1.79994111470E+002, +0.00000000000E+000
+4.71703125000E+007, +1.69503683374E+002, +0.00000000000E+000
+4.90451250000E+007, +1.58996891015E+002, +0.00000000000E+000
+5.09199375000E+007, +1.48477615959E+002, +0.00000000000E+000
+5.27947500000E+007, +1.37978266198E+002, +0.00000000000E+000
+5.46695625000E+007, +1.27493827110E+002, +0.00000000000E+000
+5.65443750000E+007, +1.17046085123E+002, +0.00000000000E+000
+5.84191875000E+007, +1.06669153994E+002, +0.00000000000E+000
+6.02940000000E+007, +9.64106577974E+001, +0.00000000000E+000
+6.21688125000E+007, +8.63343748053E+001, +0.00000000000E+000
+6.40436250000E+007, +7.65044608168E+001, +0.00000000000E+000
+6.59184375000E+007, +6.71094875091E+001, +0.00000000000E+000
+6.77932500000E+007, +5.83372396381E+001, +0.00000000000E+000
+6.96680625000E+007, +5.04478722366E+001, +0.00000000000E+000
+7.15428750000E+007, +4.34129834849E+001, +0.00000000000E+000
+7.34176875000E+007, +3.70680634079E+001, +0.00000000000E+000
+7.52925000000E+007, +3.11916583306E+001, +0.00000000000E+000
+7.71673125000E+007, +2.56148158716E+001, +0.00000000000E+000
+7.90421250000E+007, +2.02590874964E+001, +0.00000000000E+000
+8.09169375000E+007, +1.50296205957E+001, +0.00000000000E+000
+8.27917500000E+007, +9.89709436464E+000, +0.00000000000E+000
+8.46665625000E+007, +4.82777525581E+000, +0.00000000000E+000
+8.65413750000E+007, -1.94168650038E-001, +0.00000000000E+000
+8.84161875000E+007, -5.19660763715E+000, +0.00000000000E+000
+9.02910000000E+007, -1.01753885783E+001, +0.00000000000E+000
+9.21658125000E+007, -1.51651222738E+001, +0.00000000000E+000
+9.40406250000E+007, -2.01633950980E+001, +0.00000000000E+000
+9.59154375000E+007, -2.51794699358E+001, +0.00000000000E+000
+9.77902500000E+007, -3.02256291718E+001, +0.00000000000E+000
+9.96650625000E+007, -3.53034467331E+001, +0.00000000000E+000
+1.01539875000E+008, -4.04277935950E+001, +0.00000000000E+000
+1.03414687500E+008, -4.55954769207E+001, +0.00000000000E+000
+1.05289500000E+008, -5.08210843332E+001, +0.00000000000E+000
+1.07164312500E+008, -5.61105527162E+001, +0.00000000000E+000
+1.09039125000E+008, -6.14747446513E+001, +0.00000000000E+000
+1.10913937500E+008, -6.69152469488E+001, +0.00000000000E+000
+1.12788750000E+008, -7.24457901652E+001, +0.00000000000E+000
+1.14663562500E+008, -7.80663847084E+001, +0.00000000000E+000
+1.16538375000E+008, -8.37913143440E+001, +0.00000000000E+000
+1.18413187500E+008, -8.96223018980E+001, +0.00000000000E+000
+1.20288000000E+008, -9.55659904444E+001, +0.00000000000E+000
+1.22162812500E+008, -1.01623087015E+002, +0.00000000000E+000
+1.24037625000E+008, -1.07802389033E+002, +0.00000000000E+000
+1.25912437500E+008, -1.14098418207E+002, +0.00000000000E+000
+1.27787250000E+008, -1.20503978130E+002, +0.00000000000E+000
+1.29662062500E+008, -1.27016087150E+002, +0.00000000000E+000
+1.31536875000E+008, -1.33638774396E+002, +0.00000000000E+000
+1.33411687500E+008, -1.40368890592E+002, +0.00000000000E+000
+1.35286500000E+008, -1.47184089906E+002, +0.00000000000E+000
+1.37161312500E+008, -1.54094225823E+002, +0.00000000000E+000
+1.39036125000E+008, -1.61070870154E+002, +0.00000000000E+000
+1.40910937500E+008, -1.68116892947E+002, +0.00000000000E+000
+1.42785750000E+008, -1.75216099449E+002, +0.00000000000E+000
+1.44660562500E+008, +1.77643005729E+002, +0.00000000000E+000
+1.46535375000E+008, +1.70464294163E+002, +0.00000000000E+000
+1.48410187500E+008, +1.63272872145E+002, +0.00000000000E+000
+1.50285000000E+008, +1.56071933530E+002, +0.00000000000E+000
+1.52159812500E+008, +1.48876374361E+002, +0.00000000000E+000
+1.54034625000E+008, +1.41690262873E+002, +0.00000000000E+000
+1.55909437500E+008, +1.34542024480E+002, +0.00000000000E+000
+1.57784250000E+008, +1.27430825753E+002, +0.00000000000E+000
+1.59659062500E+008, +1.20374162907E+002, +0.00000000000E+000
+1.61533875000E+008, +1.13376726757E+002, +0.00000000000E+000
+1.63408687500E+008, +1.06464014138E+002, +0.00000000000E+000
+1.65283500000E+008, +9.96342121852E+001, +0.00000000000E+000
+1.67158312500E+008, +9.29014154083E+001, +0.00000000000E+000
+1.69033125000E+008, +8.62660169627E+001, +0.00000000000E+000
+1.70907937500E+008, +7.97445575940E+001, +0.00000000000E+000
+1.72782750000E+008, +7.33392460196E+001, +0.00000000000E+000
+1.74657562500E+008, +6.70489631249E+001, +0.00000000000E+000
+1.76532375000E+008, +6.08797352502E+001, +0.00000000000E+000
+1.78407187500E+008, +5.48284813326E+001, +0.00000000000E+000
+1.80282000000E+008, +4.89021103236E+001, +0.00000000000E+000
+1.82156812500E+008, +4.30812373680E+001, +0.00000000000E+000
+1.84031625000E+008, +3.73784770228E+001, +0.00000000000E+000
+1.85906437500E+008, +3.17730678374E+001, +0.00000000000E+000
+1.87781250000E+008, +2.62780993738E+001, +0.00000000000E+000
+1.89656062500E+008, +2.08752936766E+001, +0.00000000000E+000
+1.91530875000E+008, +1.55616380102E+001, +0.00000000000E+000
+1.93405687500E+008, +1.03259307164E+001, +0.00000000000E+000
+1.95280500000E+008, +5.16241289140E+000, +0.00000000000E+000
+1.97155312500E+008, +6.90977782352E-002, +0.00000000000E+000
+1.99030125000E+008, -4.96071305772E+000, +0.00000000000E+000
+2.00904937500E+008, -9.92914592649E+000, +0.00000000000E+000
+2.02779750000E+008, -1.48502731864E+001, +0.00000000000E+000
+2.04654562500E+008, -1.97230251690E+001, +0.00000000000E+000
+2.06529375000E+008, -2.45501986512E+001, +0.00000000000E+000
+2.08404187500E+008, -2.93331013277E+001, +0.00000000000E+000
+2.10279000000E+008, -3.40913572568E+001, +0.00000000000E+000
+2.12153812500E+008, -3.88201935098E+001, +0.00000000000E+000
+2.14028625000E+008, -4.35243843085E+001, +0.00000000000E+000
+2.15903437500E+008, -4.81999222879E+001, +0.00000000000E+000
+2.17778250000E+008, -5.28631685454E+001, +0.00000000000E+000
+2.19653062500E+008, -5.75081322948E+001, +0.00000000000E+000
+2.21527875000E+008, -6.21435445718E+001, +0.00000000000E+000
+2.23402687500E+008, -6.67753965657E+001, +0.00000000000E+000
+2.25277500000E+008, -7.14099616963E+001, +0.00000000000E+000
+2.27152312500E+008, -7.60506874967E+001, +0.00000000000E+000
+2.29027125000E+008, -8.06968325425E+001, +0.00000000000E+000
+2.30901937500E+008, -8.53629228135E+001, +0.00000000000E+000
+2.32776750000E+008, -9.00629040799E+001, +0.00000000000E+000
+2.34651562500E+008, -9.48029712289E+001, +0.00000000000E+000
+2.36526375000E+008, -9.96010292190E+001, +0.00000000000E+000
+2.38401187500E+008, -1.04459670892E+002, +0.00000000000E+000
+2.40276000000E+008, -1.09416396958E+002, +0.00000000000E+000
