"# Channel 3"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +1.37789398369E-008, +0.00000000000E+000
+2.17481250000E+006, +1.52443220935E-008, +0.00000000000E+000
+4.04962500000E+006, +1.31074990895E-008, +0.00000000000E+000
+5.92443750000E+006, +1.13322277911E-008, +0.00000000000E+000
+7.79925000000E+006, +1.03670931703E-008, +0.00000000000E+000
+9.67406250000E+006, +9.78664037836E-009, +0.00000000000E+000
+1.15488750000E+007, +9.21688499249E-009, +0.00000000000E+000
+1.34236875000E+007, +8.92720947966E-009, +0.00000000000E+000
+1.52985000000E+007, +8.68889990773E-009, +0.00000000000E+000
+1.71733125000E+007, +8.45027586243E-009, +0.00000000000E+000
+1.90481250000E+007, +8.28769164644E-009, +0.00000000000E+000
+2.09229375000E+007, +8.09581587315E-009, +0.00000000000E+000
+2.27977500000E+007, +7.95411327087E-009, +0.00000000000E+000
+2.46725625000E+007, +7.67047474944E-009, +0.00000000000E+000
+2.65473750000E+007, +7.37364869909E-009, +0.00000000000E+000
+2.84221875000E+007, +6.90678425396E-009, +0.00000000000E+000
+3.02970000000E+007, +6.85009798288E-009, +0.00000000000E+000
+3.21718125000E+007, +6.63122824570E-009, +0.00000000000E+000
+3.40466250000E+007, +6.60050383099E-009, +0.00000000000E+000
+3.59214375000E+007, +6.59861961867E-009, +0.00000000000E+000
+3.77962500000E+007, +6.56389752639E-009, +0.00000000000E+000
+3.96710625000E+007, +6.54754126442E-009, +0.00000000000E+000
+4.15458750000E+007, +6.56651312795E-009, +0.00000000000E+000
+4.34206875000E+007, +6.49457344964E-009, +0.00000000000E+000
+4.52955000000E+007, +6.56964891107E-009, +0.00000000000E+000
+4.71703125000E+007, +6.51786458764E-009, +0.00000000000E+000
+4.90451250000E+007, +6.47130963800E-009, +0.00000000000E+000
+5.09199375000E+007, +6.47320294158E-009, +0.00000000000E+000
+5.27947500000E+007, +6.47752652317E-009, +0.00000000000E+000
+5.46695625000E+007, +6.42480047328E-009, +0.00000000000E+000
