"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -1.73395050355E+001, +0.00000000000E+000
+2.17481250000E+006, -1.82423555437E+001, +0.00000000000E+000
+4.04962500000E+006, -1.90394726367E+001, +0.00000000000E+000
+5.92443750000E+006, -1.98965339226E+001, +0.00000000000E+000
+7.79925000000E+006, -2.08376537238E+001, +0.00000000000E+000
+9.67406250000E+006, -2.18946872926E+001, +0.00000000000E+000
+1.15488750000E+007, -2.31261535141E+001, +0.00000000000E+000
+1.34236875000E+007, -2.46737299356E+001, +0.00000000000E+000
+1.52985000000E+007, -2.70772793556E+001, +0.00000000000E+000
+1.71733125000E+007, -2.92352274683E+001, +0.00000000000E+000
+1.90481250000E+007, -2.99350824116E+001, +0.00000000000E+000
+2.09229375000E+007, -3.01519028418E+001, +0.00000000000E+000
+2.27977500000E+007, -3.01433986817E+001, +0.00000000000E+000
+2.46725625000E+007, -3.06011515902E+001, +0.00000000000E+000
+2.65473750000E+007, -3.09961539489E+001, +0.00000000000E+000
+2.84221875000E+007, -3.13375973226E+001, +0.00000000000E+000
+3.02970000000E+007, -3.16350221410E+001, +0.00000000000E+000
+3.21718125000E+007, -3.18816094177E+001, +0.00000000000E+000
+3.40466250000E+007, -3.20861954392E+001, +0.00000000000E+000
+3.59214375000E+007, -3.22412474408E+001, +0.00000000000E+000
+3.77962500000E+007, -3.23579525928E+001, +0.00000000000E+000
+3.96710625000E+007, -3.24214664360E+001, +0.00000000000E+000
+4.15458750000E+007, -3.24402469462E+001, +0.00000000000E+000
+4.34206875000E+007, -3.24042397679E+001, +0.00000000000E+000
+4.52955000000E+007, -3.23196812165E+001, +0.00000000000E+000
+4.71703125000E+007, -3.21575620217E+001, +0.00000000000E+000
+4.90451250000E+007, -3.19261835658E+001, +0.00000000000E+000
+5.09199375000E+007, -3.15799328052E+001, +0.00000000000E+000
+5.27947500000E+007, -3.10925572938E+001, +0.00000000000E+000
+5.46695625000E+007, -3.02709302363E+001, +0.00000000000E+000
+5.65443750000E+007, -2.93608963239E+001, +0.00000000000E+000
+5.84191875000E+007, -2.89093797014E+001, +0.00000000000E+000
+6.02940000000E+007, -2.86884902439E+001, +0.00000000000E+000
+6.21688125000E+007, -2.86244232181E+001, +0.00000000000E+000
+6.40436250000E+007, -2.87164938819E+001, +0.00000000000E+000
+6.59184375000E+007, -2.89206807335E+001, +0.00000000000E+000
+6.77932500000E+007, -2.91835613713E+001, +0.00000000000E+000
+6.96680625000E+007, -2.94390453318E+001, +0.00000000000E+000
