"# Channel 2"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -7.93460587082E+000, +0.00000000000E+000
+2.17481250000E+006, -4.03488542230E+000, +0.00000000000E+000
+4.04962500000E+006, -5.06611012589E+000, +0.00000000000E+000
+5.92443750000E+006, -6.93100109010E+000, +0.00000000000E+000
+7.79925000000E+006, -9.14695760430E+000, +0.00000000000E+000
+9.67406250000E+006, -1.18633506874E+001, +0.00000000000E+000
+1.15488750000E+007, -1.47630541467E+001, +0.00000000000E+000
+1.34236875000E+007, -1.77083192071E+001, +0.00000000000E+000
+1.52985000000E+007, -2.07202634464E+001, +0.00000000000E+000
+1.71733125000E+007, -2.38304807423E+001, +0.00000000000E+000
+1.90481250000E+007, -2.70760231698E+001, +0.00000000000E+000
+2.09229375000E+007, -3.05024753323E+001, +0.00000000000E+000
+2.27977500000E+007, -3.41158811847E+001, +0.00000000000E+000
+2.46725625000E+007, -3.71524500882E+001, +0.00000000000E+000
+2.65473750000E+007, -4.07969413163E+001, +0.00000000000E+000
+2.84221875000E+007, -4.43929905618E+001, +0.00000000000E+000
+3.02970000000E+007, -4.82960231287E+001, +0.00000000000E+000
+3.21718125000E+007, -5.23844061009E+001, +0.00000000000E+000
+3.40466250000E+007, -5.66925246462E+001, +0.00000000000E+000
+3.59214375000E+007, -6.12898140171E+001, +0.00000000000E+000
+3.77962500000E+007, -6.61760285006E+001, +0.00000000000E+000
+3.96710625000E+007, -7.13938464610E+001, +0.00000000000E+000
+4.15458750000E+007, -7.69408544038E+001, +0.00000000000E+000
+4.34206875000E+007, -8.28050292884E+001, +0.00000000000E+000
+4.52955000000E+007, -8.90068539688E+001, +0.00000000000E+000
+4.71703125000E+007, -9.55854685987E+001, +0.00000000000E+000
+4.90451250000E+007, -1.02431837497E+002, +0.00000000000E+000
+5.09199375000E+007, -1.09509096824E+002, +0.00000000000E+000
+5.27947500000E+007, -1.16799350194E+002, +0.00000000000E+000
+5.46695625000E+007, -1.24247601504E+002, +0.00000000000E+000
+5.65443750000E+007, -1.31828090851E+002, +0.00000000000E+000
+5.84191875000E+007, -1.39470146901E+002, +0.00000000000E+000
+6.02940000000E+007, -1.47194243378E+002, +0.00000000000E+000
+6.21688125000E+007, -1.54964018356E+002, +0.00000000000E+000
+6.40436250000E+007, -1.62750871370E+002, +0.00000000000E+000
+6.59184375000E+007, -1.70510712362E+002, +0.00000000000E+000
+6.77932500000E+007, -1.78261940992E+002, +0.00000000000E+000
+6.96680625000E+007, +1.74033893939E+002, +0.00000000000E+000
+7.15428750000E+007, +1.66412734208E+002, +0.00000000000E+000
+7.34176875000E+007, +1.58880801534E+002, +0.00000000000E+000
+7.52925000000E+007, +1.51462083704E+002, +0.00000000000E+000
+7.71673125000E+007, +1.44197512725E+002, +0.00000000000E+000
+7.90421250000E+007, +1.37127036065E+002, +0.00000000000E+000
+8.09169375000E+007, +1.30236820464E+002, +0.00000000000E+000
+8.27917500000E+007, +1.23628981600E+002, +0.00000000000E+000
+8.46665625000E+007, +1.17291529904E+002, +0.00000000000E+000
+8.65413750000E+007, +1.11304721465E+002, +0.00000000000E+000
+8.84161875000E+007, +1.05679587370E+002, +0.00000000000E+000
+9.02910000000E+007, +1.00433124146E+002, +0.00000000000E+000
+9.21658125000E+007, +9.55532317417E+001, +0.00000000000E+000
+9.40406250000E+007, +9.10502147229E+001, +0.00000000000E+000
+9.59154375000E+007, +8.68526708079E+001, +0.00000000000E+000
+9.77902500000E+007, +8.29034072390E+001, +0.00000000000E+000
+9.96650625000E+007, +7.91980171145E+001, +0.00000000000E+000
+1.01539875000E+008, +7.56793286137E+001, +0.00000000000E+000
+1.03414687500E+008, +7.23370905224E+001, +0.00000000000E+000
+1.05289500000E+008, +6.91150431110E+001, +0.00000000000E+000
+1.07164312500E+008, +6.60308439898E+001, +0.00000000000E+000
+1.09039125000E+008, +6.30410234417E+001, +0.00000000000E+000
+1.10913937500E+008, +6.01624708180E+001, +0.00000000000E+000
+1.12788750000E+008, +5.73453393773E+001, +0.00000000000E+000
+1.14663562500E+008, +5.46135103386E+001, +0.00000000000E+000
+1.16538375000E+008, +5.19306282920E+001, +0.00000000000E+000
+1.18413187500E+008, +4.93055101864E+001, +0.00000000000E+000
+1.20288000000E+008, +4.67349051051E+001, +0.00000000000E+000
+1.22162812500E+008, +4.42226400692E+001, +0.00000000000E+000
+1.24037625000E+008, +4.17434168485E+001, +0.00000000000E+000
+1.25912437500E+008, +3.93022072328E+001, +0.00000000000E+000
+1.27787250000E+008, +3.69045736973E+001, +0.00000000000E+000
+1.29662062500E+008, +3.45286896295E+001, +0.00000000000E+000
+1.31536875000E+008, +3.21867740903E+001, +0.00000000000E+000
+1.33411687500E+008, +2.98933837201E+001, +0.00000000000E+000
+1.35286500000E+008, +2.76239796973E+001, +0.00000000000E+000
+1.37161312500E+008, +2.53861532584E+001, +0.00000000000E+000
+1.39036125000E+008, +2.31600820082E+001, +0.00000000000E+000
+1.40910937500E+008, +2.09706260346E+001, +0.00000000000E+000
+1.42785750000E+008, +1.88032386455E+001, +0.00000000000E+000
