"# Channel 3"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +5.64285623347E-009, +0.00000000000E+000
+2.17481250000E+006, +5.43416327590E-009, +0.00000000000E+000
+4.04962500000E+006, +5.34735172902E-009, +0.00000000000E+000
+5.92443750000E+006, +5.25699959778E-009, +0.00000000000E+000
+7.79925000000E+006, +5.22535321681E-009, +0.00000000000E+000
+9.67406250000E+006, +5.18469211987E-009, +0.00000000000E+000
+1.15488750000E+007, +5.15965356402E-009, +0.00000000000E+000
+1.34236875000E+007, +5.13454243458E-009, +0.00000000000E+000
+1.52985000000E+007, +5.12085901322E-009, +0.00000000000E+000
+1.71733125000E+007, +5.10953228826E-009, +0.00000000000E+000
+1.90481250000E+007, +5.09260035196E-009, +0.00000000000E+000
+2.09229375000E+007, +5.08306089600E-009, +0.00000000000E+000
+2.27977500000E+007, +5.07458637989E-009, +0.00000000000E+000
+2.46725625000E+007, +5.04728920016E-009, +0.00000000000E+000
+2.65473750000E+007, +5.02278305746E-009, +0.00000000000E+000
+2.84221875000E+007, +5.01466542533E-009, +0.00000000000E+000
+3.02970000000E+007, +5.00393465603E-009, +0.00000000000E+000
+3.21718125000E+007, +4.99637863977E-009, +0.00000000000E+000
+3.40466250000E+007, +4.98164336422E-009, +0.00000000000E+000
+3.59214375000E+007, +4.98772585850E-009, +0.00000000000E+000
+3.77962500000E+007, +4.97819627696E-009, +0.00000000000E+000
+3.96710625000E+007, +4.96582385234E-009, +0.00000000000E+000
+4.15458750000E+007, +4.96509583886E-009, +0.00000000000E+000
+4.34206875000E+007, +4.96036236992E-009, +0.00000000000E+000
+4.52955000000E+007, +4.95932859226E-009, +0.00000000000E+000
+4.71703125000E+007, +4.94842176511E-009, +0.00000000000E+000
+4.90451250000E+007, +4.94949779073E-009, +0.00000000000E+000
+5.09199375000E+007, +4.94446588784E-009, +0.00000000000E+000
+5.27947500000E+007, +4.93967293710E-009, +0.00000000000E+000
+5.46695625000E+007, +4.93246772840E-009, +0.00000000000E+000
+5.65443750000E+007, +4.93274859596E-009, +0.00000000000E+000
+5.84191875000E+007, +4.92351913420E-009, +0.00000000000E+000
+6.02940000000E+007, +4.92049443687E-009, +0.00000000000E+000
+6.21688125000E+007, +4.92087272185E-009, +0.00000000000E+000
+6.40436250000E+007, +4.91353640805E-009, +0.00000000000E+000
+6.59184375000E+007, +4.90866699372E-009, +0.00000000000E+000
+6.77932500000E+007, +4.90538927988E-009, +0.00000000000E+000
+6.96680625000E+007, +4.90043142459E-009, +0.00000000000E+000
+7.15428750000E+007, +4.89321436918E-009, +0.00000000000E+000
+7.34176875000E+007, +4.89004113063E-009, +0.00000000000E+000
+7.52925000000E+007, +4.88908853052E-009, +0.00000000000E+000
+7.71673125000E+007, +4.88183681962E-009, +0.00000000000E+000
+7.90421250000E+007, +4.87785309290E-009, +0.00000000000E+000
+8.09169375000E+007, +4.87810786949E-009, +0.00000000000E+000
+8.27917500000E+007, +4.86459065145E-009, +0.00000000000E+000
+8.46665625000E+007, +4.86529687813E-009, +0.00000000000E+000
+8.65413750000E+007, +4.86460723294E-009, +0.00000000000E+000
+8.84161875000E+007, +4.85818523816E-009, +0.00000000000E+000
+9.02910000000E+007, +4.85245334627E-009, +0.00000000000E+000
+9.21658125000E+007, +4.84483231108E-009, +0.00000000000E+000
+9.40406250000E+007, +4.84443552999E-009, +0.00000000000E+000
+9.59154375000E+007, +4.83771148550E-009, +0.00000000000E+000
+9.77902500000E+007, +4.83280977323E-009, +0.00000000000E+000
+9.96650625000E+007, +4.83026309726E-009, +0.00000000000E+000
+1.01539875000E+008, +4.82102010652E-009, +0.00000000000E+000
+1.03414687500E+008, +4.82002137212E-009, +0.00000000000E+000
+1.05289500000E+008, +4.81544722865E-009, +0.00000000000E+000
+1.07164312500E+008, +4.80524113875E-009, +0.00000000000E+000
+1.09039125000E+008, +4.79977948282E-009, +0.00000000000E+000
+1.10913937500E+008, +4.79656839450E-009, +0.00000000000E+000
+1.12788750000E+008, +4.79197067912E-009, +0.00000000000E+000
+1.14663562500E+008, +4.78396798814E-009, +0.00000000000E+000
+1.16538375000E+008, +4.77558170461E-009, +0.00000000000E+000
