"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -1.50234396144E+001, +0.00000000000E+000
+2.17481250000E+006, -1.72441286009E+001, +0.00000000000E+000
+4.04962500000E+006, -1.83376273596E+001, +0.00000000000E+000
+5.92443750000E+006, -1.92884007628E+001, +0.00000000000E+000
+7.79925000000E+006, -2.02615394199E+001, +0.00000000000E+000
+9.67406250000E+006, -2.13219068774E+001, +0.00000000000E+000
+1.15488750000E+007, -2.25540097487E+001, +0.00000000000E+000
+1.34236875000E+007, -2.41026936665E+001, +0.00000000000E+000
+1.52985000000E+007, -2.65266376454E+001, +0.00000000000E+000
+1.71733125000E+007, -2.87138629677E+001, +0.00000000000E+000
+1.90481250000E+007, -2.94625852284E+001, +0.00000000000E+000
+2.09229375000E+007, -2.97551241316E+001, +0.00000000000E+000
+2.27977500000E+007, -2.98402185853E+001, +0.00000000000E+000
+2.46725625000E+007, -3.04366291490E+001, +0.00000000000E+000
+2.65473750000E+007, -3.09018085423E+001, +0.00000000000E+000
+2.84221875000E+007, -3.13220192141E+001, +0.00000000000E+000
+3.02970000000E+007, -3.17057305197E+001, +0.00000000000E+000
+3.21718125000E+007, -3.20573166840E+001, +0.00000000000E+000
+3.40466250000E+007, -3.23769455802E+001, +0.00000000000E+000
+3.59214375000E+007, -3.26618133135E+001, +0.00000000000E+000
+3.77962500000E+007, -3.29123047545E+001, +0.00000000000E+000
+3.96710625000E+007, -3.31293931688E+001, +0.00000000000E+000
+4.15458750000E+007, -3.33103799136E+001, +0.00000000000E+000
+4.34206875000E+007, -3.34477907197E+001, +0.00000000000E+000
+4.52955000000E+007, -3.35258333350E+001, +0.00000000000E+000
+4.71703125000E+007, -3.35365145347E+001, +0.00000000000E+000
+4.90451250000E+007, -3.34572130795E+001, +0.00000000000E+000
+5.09199375000E+007, -3.32582889577E+001, +0.00000000000E+000
+5.27947500000E+007, -3.28867193953E+001, +0.00000000000E+000
+5.46695625000E+007, -3.21636692061E+001, +0.00000000000E+000
+5.65443750000E+007, -3.13126173043E+001, +0.00000000000E+000
+5.84191875000E+007, -3.08723446012E+001, +0.00000000000E+000
+6.02940000000E+007, -3.06143040106E+001, +0.00000000000E+000
+6.21688125000E+007, -3.04812640158E+001, +0.00000000000E+000
+6.40436250000E+007, -3.04569096565E+001, +0.00000000000E+000
+6.59184375000E+007, -3.04877765178E+001, +0.00000000000E+000
+6.77932500000E+007, -3.06283803820E+001, +0.00000000000E+000
+6.96680625000E+007, -3.08641132953E+001, +0.00000000000E+000
+7.15428750000E+007, -3.12022949552E+001, +0.00000000000E+000
+7.34176875000E+007, -3.17681400687E+001, +0.00000000000E+000
+7.52925000000E+007, -3.26145467592E+001, +0.00000000000E+000
+7.71673125000E+007, -3.30882018869E+001, +0.00000000000E+000
+7.90421250000E+007, -3.34884844064E+001, +0.00000000000E+000
+8.09169375000E+007, -3.37755118530E+001, +0.00000000000E+000
+8.27917500000E+007, -3.40623060691E+001, +0.00000000000E+000
+8.46665625000E+007, -3.42720265609E+001, +0.00000000000E+000
+8.65413750000E+007, -3.44441829539E+001, +0.00000000000E+000
+8.84161875000E+007, -3.45802459018E+001, +0.00000000000E+000
+9.02910000000E+007, -3.47171731836E+001, +0.00000000000E+000
+9.21658125000E+007, -3.48426764033E+001, +0.00000000000E+000
+9.40406250000E+007, -3.49440118945E+001, +0.00000000000E+000
+9.59154375000E+007, -3.50701102575E+001, +0.00000000000E+000
+9.77902500000E+007, -3.51920201561E+001, +0.00000000000E+000
+9.96650625000E+007, -3.53031629755E+001, +0.00000000000E+000
+1.01539875000E+008, -3.54107635100E+001, +0.00000000000E+000
+1.03414687500E+008, -3.55359197163E+001, +0.00000000000E+000
+1.05289500000E+008, -3.56299757783E+001, +0.00000000000E+000
+1.07164312500E+008, -3.56674794276E+001, +0.00000000000E+000
+1.09039125000E+008, -3.56789526709E+001, +0.00000000000E+000
+1.10913937500E+008, -3.56365934775E+001, +0.00000000000E+000
+1.12788750000E+008, -3.55412809504E+001, +0.00000000000E+000
+1.14663562500E+008, -3.53619773885E+001, +0.00000000000E+000
+1.16538375000E+008, -3.51148406577E+001, +0.00000000000E+000
+1.18413187500E+008, -3.47512218152E+001, +0.00000000000E+000
+1.20288000000E+008, -3.41556819155E+001, +0.00000000000E+000
+1.22162812500E+008, -3.32667111614E+001, +0.00000000000E+000
+1.24037625000E+008, -3.27428258348E+001, +0.00000000000E+000
+1.25912437500E+008, -3.22726758784E+001, +0.00000000000E+000
+1.27787250000E+008, -3.18935365054E+001, +0.00000000000E+000
+1.29662062500E+008, -3.14898588860E+001, +0.00000000000E+000
+1.31536875000E+008, -3.11285894975E+001, +0.00000000000E+000
+1.33411687500E+008, -3.07558942329E+001, +0.00000000000E+000
+1.35286500000E+008, -3.03882203991E+001, +0.00000000000E+000
+1.37161312500E+008, -2.99644758301E+001, +0.00000000000E+000
+1.39036125000E+008, -2.95236695600E+001, +0.00000000000E+000
+1.40910937500E+008, -2.90635676048E+001, +0.00000000000E+000
+1.42785750000E+008, -2.85609553152E+001, +0.00000000000E+000
+1.44660562500E+008, -2.80291280477E+001, +0.00000000000E+000
+1.46535375000E+008, -2.74837025556E+001, +0.00000000000E+000
+1.48410187500E+008, -2.69165640102E+001, +0.00000000000E+000
+1.50285000000E+008, -2.63204517806E+001, +0.00000000000E+000
+1.52159812500E+008, -2.57599765493E+001, +0.00000000000E+000
+1.54034625000E+008, -2.52344508344E+001, +0.00000000000E+000
+1.55909437500E+008, -2.47197957017E+001, +0.00000000000E+000
+1.57784250000E+008, -2.42258661235E+001, +0.00000000000E+000
+1.59659062500E+008, -2.37960698460E+001, +0.00000000000E+000
+1.61533875000E+008, -2.34019719388E+001, +0.00000000000E+000
+1.63408687500E+008, -2.30257604629E+001, +0.00000000000E+000
+1.65283500000E+008, -2.26991709759E+001, +0.00000000000E+000
+1.67158312500E+008, -2.24217633738E+001, +0.00000000000E+000
+1.69033125000E+008, -2.21894218990E+001, +0.00000000000E+000
+1.70907937500E+008, -2.19993734595E+001, +0.00000000000E+000
+1.72782750000E+008, -2.18397917034E+001, +0.00000000000E+000
+1.74657562500E+008, -2.17260867794E+001, +0.00000000000E+000
+1.76532375000E+008, -2.16573005918E+001, +0.00000000000E+000
+1.78407187500E+008, -2.16298168745E+001, +0.00000000000E+000
+1.80282000000E+008, -2.16417365044E+001, +0.00000000000E+000
+1.82156812500E+008, -2.16995616536E+001, +0.00000000000E+000
+1.84031625000E+008, -2.17982596942E+001, +0.00000000000E+000
+1.85906437500E+008, -2.19274672765E+001, +0.00000000000E+000
+1.87781250000E+008, -2.20829302714E+001, +0.00000000000E+000
+1.89656062500E+008, -2.22531041560E+001, +0.00000000000E+000
+1.91530875000E+008, -2.24606978570E+001, +0.00000000000E+000
+1.93405687500E+008, -2.26775225738E+001, +0.00000000000E+000
+1.95280500000E+008, -2.29007383604E+001, +0.00000000000E+000
+1.97155312500E+008, -2.31202921673E+001, +0.00000000000E+000
+1.99030125000E+008, -2.33360452918E+001, +0.00000000000E+000
+2.00904937500E+008, -2.35288762914E+001, +0.00000000000E+000
+2.02779750000E+008, -2.37028098445E+001, +0.00000000000E+000
+2.04654562500E+008, -2.38580056409E+001, +0.00000000000E+000
+2.06529375000E+008, -2.39835360311E+001, +0.00000000000E+000
+2.08404187500E+008, -2.40709568128E+001, +0.00000000000E+000
+2.10279000000E+008, -2.41318451999E+001, +0.00000000000E+000
+2.12153812500E+008, -2.41614443662E+001, +0.00000000000E+000
+2.14028625000E+008, -2.41635221511E+001, +0.00000000000E+000
+2.15903437500E+008, -2.41383291467E+001, +0.00000000000E+000
+2.17778250000E+008, -2.40827857455E+001, +0.00000000000E+000
+2.19653062500E+008, -2.40353009680E+001, +0.00000000000E+000
