"# Channel 2"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -4.70727740839E-002, +0.00000000000E+000
+2.17481250000E+006, -3.72289692868E+000, +0.00000000000E+000
+4.04962500000E+006, -7.25785258618E+000, +0.00000000000E+000
+5.92443750000E+006, -1.07378474837E+001, +0.00000000000E+000
+7.79925000000E+006, -1.41775091031E+001, +0.00000000000E+000
+9.67406250000E+006, -1.76017895975E+001, +0.00000000000E+000
+1.15488750000E+007, -2.10138724030E+001, +0.00000000000E+000
+1.34236875000E+007, -2.44175943277E+001, +0.00000000000E+000
+1.52985000000E+007, -2.77998331466E+001, +0.00000000000E+000
+1.71733125000E+007, -3.11844711319E+001, +0.00000000000E+000
+1.90481250000E+007, -3.45678610403E+001, +0.00000000000E+000
+2.09229375000E+007, -3.79485824946E+001, +0.00000000000E+000
+2.27977500000E+007, -4.13233663885E+001, +0.00000000000E+000
+2.46725625000E+007, -4.47303721646E+001, +0.00000000000E+000
+2.65473750000E+007, -4.81156069626E+001, +0.00000000000E+000
+2.84221875000E+007, -5.14991905434E+001, +0.00000000000E+000
+3.02970000000E+007, -5.48711997852E+001, +0.00000000000E+000
+3.21718125000E+007, -5.82388864605E+001, +0.00000000000E+000
+3.40466250000E+007, -6.16034514820E+001, +0.00000000000E+000
+3.59214375000E+007, -6.49659844870E+001, +0.00000000000E+000
+3.77962500000E+007, -6.83229135046E+001, +0.00000000000E+000
+3.96710625000E+007, -7.16785350801E+001, +0.00000000000E+000
+4.15458750000E+007, -7.50300551812E+001, +0.00000000000E+000
+4.34206875000E+007, -7.83769139353E+001, +0.00000000000E+000
+4.52955000000E+007, -8.17223042983E+001, +0.00000000000E+000
+4.71703125000E+007, -8.50634927465E+001, +0.00000000000E+000
+4.90451250000E+007, -8.84006109705E+001, +0.00000000000E+000
+5.09199375000E+007, -9.17380390959E+001, +0.00000000000E+000
+5.27947500000E+007, -9.50762801673E+001, +0.00000000000E+000
+5.46695625000E+007, -9.84116373911E+001, +0.00000000000E+000
+5.65443750000E+007, -1.01741312454E+002, +0.00000000000E+000
+5.84191875000E+007, -1.05066859199E+002, +0.00000000000E+000
