"# Channel 3"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +4.52643586938E-009, +0.00000000000E+000
+2.17481250000E+006, +4.51821464294E-009, +0.00000000000E+000
+4.04962500000E+006, +4.75412519347E-009, +0.00000000000E+000
+5.92443750000E+006, +4.82025338358E-009, +0.00000000000E+000
+7.79925000000E+006, +4.87333303544E-009, +0.00000000000E+000
+9.67406250000E+006, +4.88499245485E-009, +0.00000000000E+000
+1.15488750000E+007, +4.90914069373E-009, +0.00000000000E+000
+1.34236875000E+007, +4.91481599906E-009, +0.00000000000E+000
+1.52985000000E+007, +4.93152858707E-009, +0.00000000000E+000
+1.71733125000E+007, +4.93800216623E-009, +0.00000000000E+000
+1.90481250000E+007, +4.93875211794E-009, +0.00000000000E+000
+2.09229375000E+007, +4.94173243417E-009, +0.00000000000E+000
+2.27977500000E+007, +4.94510951671E-009, +0.00000000000E+000
+2.46725625000E+007, +4.95915945680E-009, +0.00000000000E+000
+2.65473750000E+007, +4.97662594958E-009, +0.00000000000E+000
+2.84221875000E+007, +4.99327204180E-009, +0.00000000000E+000
+3.02970000000E+007, +4.98013424096E-009, +0.00000000000E+000
+3.21718125000E+007, +4.98289499384E-009, +0.00000000000E+000
+3.40466250000E+007, +4.97599661962E-009, +0.00000000000E+000
+3.59214375000E+007, +4.98027290295E-009, +0.00000000000E+000
+3.77962500000E+007, +4.97299731362E-009, +0.00000000000E+000
+3.96710625000E+007, +4.96882019292E-009, +0.00000000000E+000
+4.15458750000E+007, +4.96316963828E-009, +0.00000000000E+000
+4.34206875000E+007, +4.96823193405E-009, +0.00000000000E+000
+4.52955000000E+007, +4.95171255989E-009, +0.00000000000E+000
+4.71703125000E+007, +4.95141952281E-009, +0.00000000000E+000
+4.90451250000E+007, +4.94857782176E-009, +0.00000000000E+000
+5.09199375000E+007, +4.94501227917E-009, +0.00000000000E+000
+5.27947500000E+007, +4.94077634895E-009, +0.00000000000E+000
+5.46695625000E+007, +4.93765290382E-009, +0.00000000000E+000
+5.65443750000E+007, +4.92951093214E-009, +0.00000000000E+000
+5.84191875000E+007, +4.93309437826E-009, +0.00000000000E+000
+6.02940000000E+007, +4.92556790808E-009, +0.00000000000E+000
+6.21688125000E+007, +4.92193673171E-009, +0.00000000000E+000
+6.40436250000E+007, +4.91462106449E-009, +0.00000000000E+000
+6.59184375000E+007, +4.91463369186E-009, +0.00000000000E+000
+6.77932500000E+007, +4.90380279887E-009, +0.00000000000E+000
+6.96680625000E+007, +4.89689282073E-009, +0.00000000000E+000
+7.15428750000E+007, +4.89802110991E-009, +0.00000000000E+000
+7.34176875000E+007, +4.89110797817E-009, +0.00000000000E+000
+7.52925000000E+007, +4.88482041207E-009, +0.00000000000E+000
+7.71673125000E+007, +4.88356847081E-009, +0.00000000000E+000
+7.90421250000E+007, +4.87201710896E-009, +0.00000000000E+000
+8.09169375000E+007, +4.87215194659E-009, +0.00000000000E+000
+8.27917500000E+007, +4.86029278997E-009, +0.00000000000E+000
+8.46665625000E+007, +4.85901384993E-009, +0.00000000000E+000
+8.65413750000E+007, +4.84938994094E-009, +0.00000000000E+000
+8.84161875000E+007, +4.85050078690E-009, +0.00000000000E+000
+9.02910000000E+007, +4.84045839178E-009, +0.00000000000E+000
+9.21658125000E+007, +4.83996737060E-009, +0.00000000000E+000
+9.40406250000E+007, +4.83582443711E-009, +0.00000000000E+000
+9.59154375000E+007, +4.82682691070E-009, +0.00000000000E+000
+9.77902500000E+007, +4.82462902174E-009, +0.00000000000E+000
+9.96650625000E+007, +4.81626906608E-009, +0.00000000000E+000
+1.01539875000E+008, +4.80744836247E-009, +0.00000000000E+000
+1.03414687500E+008, +4.80653524951E-009, +0.00000000000E+000
+1.05289500000E+008, +4.78987042022E-009, +0.00000000000E+000
