"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -1.72645978817E+001, +0.00000000000E+000
+2.17481250000E+006, -1.81787338874E+001, +0.00000000000E+000
+4.04962500000E+006, -1.90002780388E+001, +0.00000000000E+000
+5.92443750000E+006, -1.98736605243E+001, +0.00000000000E+000
+7.79925000000E+006, -2.08311825579E+001, +0.00000000000E+000
+9.67406250000E+006, -2.19058037625E+001, +0.00000000000E+000
+1.15488750000E+007, -2.31581974175E+001, +0.00000000000E+000
+1.34236875000E+007, -2.47255005511E+001, +0.00000000000E+000
+1.52985000000E+007, -2.71523791975E+001, +0.00000000000E+000
+1.71733125000E+007, -2.93311346084E+001, +0.00000000000E+000
+1.90481250000E+007, -3.00510540422E+001, +0.00000000000E+000
+2.09229375000E+007, -3.02918861008E+001, +0.00000000000E+000
+2.27977500000E+007, -3.03024989358E+001, +0.00000000000E+000
+2.46725625000E+007, -3.07781531967E+001, +0.00000000000E+000
+2.65473750000E+007, -3.11913446083E+001, +0.00000000000E+000
+2.84221875000E+007, -3.15529310136E+001, +0.00000000000E+000
+3.02970000000E+007, -3.18705167105E+001, +0.00000000000E+000
+3.21718125000E+007, -3.21368650526E+001, +0.00000000000E+000
+3.40466250000E+007, -3.23623578095E+001, +0.00000000000E+000
+3.59214375000E+007, -3.25354311805E+001, +0.00000000000E+000
+3.77962500000E+007, -3.26682501973E+001, +0.00000000000E+000
+3.96710625000E+007, -3.27481447613E+001, +0.00000000000E+000
+4.15458750000E+007, -3.27825990246E+001, +0.00000000000E+000
+4.34206875000E+007, -3.27615311453E+001, +0.00000000000E+000
+4.52955000000E+007, -3.26942992002E+001, +0.00000000000E+000
+4.71703125000E+007, -3.25542695387E+001, +0.00000000000E+000
+4.90451250000E+007, -3.23418262680E+001, +0.00000000000E+000
+5.09199375000E+007, -3.20273576903E+001, +0.00000000000E+000
+5.27947500000E+007, -3.15663699730E+001, +0.00000000000E+000
+5.46695625000E+007, -3.07750479217E+001, +0.00000000000E+000
+5.65443750000E+007, -2.99027582651E+001, +0.00000000000E+000
+5.84191875000E+007, -2.94829838040E+001, +0.00000000000E+000
+6.02940000000E+007, -2.93237696434E+001, +0.00000000000E+000
+6.21688125000E+007, -2.93481882569E+001, +0.00000000000E+000
+6.40436250000E+007, -2.95627410991E+001, +0.00000000000E+000
+6.59184375000E+007, -2.98567378216E+001, +0.00000000000E+000
+6.77932500000E+007, -3.01086886397E+001, +0.00000000000E+000
+6.96680625000E+007, -3.03139588906E+001, +0.00000000000E+000
+7.15428750000E+007, -3.04272137685E+001, +0.00000000000E+000
+7.34176875000E+007, -3.04832156355E+001, +0.00000000000E+000
+7.52925000000E+007, -3.04724754741E+001, +0.00000000000E+000
+7.71673125000E+007, -3.04192595154E+001, +0.00000000000E+000
+7.90421250000E+007, -3.03464525682E+001, +0.00000000000E+000
+8.09169375000E+007, -3.02554010454E+001, +0.00000000000E+000
+8.27917500000E+007, -3.01595559012E+001, +0.00000000000E+000
+8.46665625000E+007, -3.00528297335E+001, +0.00000000000E+000
+8.65413750000E+007, -2.99527873331E+001, +0.00000000000E+000
+8.84161875000E+007, -2.98452066797E+001, +0.00000000000E+000
+9.02910000000E+007, -2.97301729023E+001, +0.00000000000E+000
+9.21658125000E+007, -2.96111389228E+001, +0.00000000000E+000
+9.40406250000E+007, -2.94866756453E+001, +0.00000000000E+000
+9.59154375000E+007, -2.93644534867E+001, +0.00000000000E+000
+9.77902500000E+007, -2.92499418108E+001, +0.00000000000E+000
+9.96650625000E+007, -2.91207531878E+001, +0.00000000000E+000
+1.01539875000E+008, -2.90144004678E+001, +0.00000000000E+000
+1.03414687500E+008, -2.88862465907E+001, +0.00000000000E+000
+1.05289500000E+008, -2.87625979025E+001, +0.00000000000E+000
+1.07164312500E+008, -2.85998788384E+001, +0.00000000000E+000
+1.09039125000E+008, -2.84087050720E+001, +0.00000000000E+000
+1.10913937500E+008, -2.81481464017E+001, +0.00000000000E+000
+1.12788750000E+008, -2.79133180998E+001, +0.00000000000E+000
+1.14663562500E+008, -2.78025724356E+001, +0.00000000000E+000
+1.16538375000E+008, -2.78168980975E+001, +0.00000000000E+000
+1.18413187500E+008, -2.79832401990E+001, +0.00000000000E+000
+1.20288000000E+008, -2.82522871019E+001, +0.00000000000E+000
+1.22162812500E+008, -2.86353167335E+001, +0.00000000000E+000
+1.24037625000E+008, -2.90813401838E+001, +0.00000000000E+000
+1.25912437500E+008, -2.95266423079E+001, +0.00000000000E+000
+1.27787250000E+008, -2.99538301893E+001, +0.00000000000E+000
+1.29662062500E+008, -3.03831258020E+001, +0.00000000000E+000
+1.31536875000E+008, -3.07146738708E+001, +0.00000000000E+000
+1.33411687500E+008, -3.09989518414E+001, +0.00000000000E+000
+1.35286500000E+008, -3.12036920848E+001, +0.00000000000E+000
+1.37161312500E+008, -3.13954137330E+001, +0.00000000000E+000
+1.39036125000E+008, -3.15138972675E+001, +0.00000000000E+000
+1.40910937500E+008, -3.15864636672E+001, +0.00000000000E+000
+1.42785750000E+008, -3.16048512190E+001, +0.00000000000E+000
+1.44660562500E+008, -3.15659838845E+001, +0.00000000000E+000
+1.46535375000E+008, -3.14966874053E+001, +0.00000000000E+000
+1.48410187500E+008, -3.13464217322E+001, +0.00000000000E+000
+1.50285000000E+008, -3.11614651900E+001, +0.00000000000E+000
+1.52159812500E+008, -3.09305719221E+001, +0.00000000000E+000
+1.54034625000E+008, -3.06627932514E+001, +0.00000000000E+000
+1.55909437500E+008, -3.03417972818E+001, +0.00000000000E+000
+1.57784250000E+008, -3.00041641168E+001, +0.00000000000E+000
+1.59659062500E+008, -2.96282773389E+001, +0.00000000000E+000
+1.61533875000E+008, -2.92527825895E+001, +0.00000000000E+000
+1.63408687500E+008, -2.88591601078E+001, +0.00000000000E+000
+1.65283500000E+008, -2.84676740497E+001, +0.00000000000E+000
+1.67158312500E+008, -2.80762392395E+001, +0.00000000000E+000
+1.69033125000E+008, -2.76970646943E+001, +0.00000000000E+000
+1.70907937500E+008, -2.73206622741E+001, +0.00000000000E+000
+1.72782750000E+008, -2.70039885902E+001, +0.00000000000E+000
+1.74657562500E+008, -2.67402666034E+001, +0.00000000000E+000
+1.76532375000E+008, -2.65009832298E+001, +0.00000000000E+000
+1.78407187500E+008, -2.63609159148E+001, +0.00000000000E+000
+1.80282000000E+008, -2.62661832848E+001, +0.00000000000E+000
+1.82156812500E+008, -2.62428627827E+001, +0.00000000000E+000
+1.84031625000E+008, -2.62583378299E+001, +0.00000000000E+000
+1.85906437500E+008, -2.63260241451E+001, +0.00000000000E+000
+1.87781250000E+008, -2.64680547622E+001, +0.00000000000E+000
+1.89656062500E+008, -2.66698532321E+001, +0.00000000000E+000
+1.91530875000E+008, -2.69684665644E+001, +0.00000000000E+000
+1.93405687500E+008, -2.73560806712E+001, +0.00000000000E+000
+1.95280500000E+008, -2.78427728064E+001, +0.00000000000E+000
+1.97155312500E+008, -2.85787223958E+001, +0.00000000000E+000
+1.99030125000E+008, -2.93336859321E+001, +0.00000000000E+000
+2.00904937500E+008, -3.00246868289E+001, +0.00000000000E+000
+2.02779750000E+008, -3.05369199703E+001, +0.00000000000E+000
+2.04654562500E+008, -3.08754340359E+001, +0.00000000000E+000
+2.06529375000E+008, -3.11552107340E+001, +0.00000000000E+000
+2.08404187500E+008, -3.13136585046E+001, +0.00000000000E+000
+2.10279000000E+008, -3.14026413626E+001, +0.00000000000E+000
+2.12153812500E+008, -3.13998378084E+001, +0.00000000000E+000
+2.14028625000E+008, -3.13645317426E+001, +0.00000000000E+000
+2.15903437500E+008, -3.12649055412E+001, +0.00000000000E+000
+2.17778250000E+008, -3.11636206689E+001, +0.00000000000E+000
+2.19653062500E+008, -3.10283796148E+001, +0.00000000000E+000
+2.21527875000E+008, -3.08898197845E+001, +0.00000000000E+000
+2.23402687500E+008, -3.07410265319E+001, +0.00000000000E+000
+2.25277500000E+008, -3.06400393626E+001, +0.00000000000E+000
+2.27152312500E+008, -3.05613478223E+001, +0.00000000000E+000
+2.29027125000E+008, -3.05343379643E+001, +0.00000000000E+000
+2.30901937500E+008, -3.05309387218E+001, +0.00000000000E+000
+2.32776750000E+008, -3.05749798683E+001, +0.00000000000E+000
+2.34651562500E+008, -3.06698844693E+001, +0.00000000000E+000
+2.36526375000E+008, -3.07623614322E+001, +0.00000000000E+000
+2.38401187500E+008, -3.08258009247E+001, +0.00000000000E+000
+2.40276000000E+008, -3.08196103243E+001, +0.00000000000E+000
+2.42150812500E+008, -3.07779924658E+001, +0.00000000000E+000
+2.44025625000E+008, -3.04860372752E+001, +0.00000000000E+000
+2.45900437500E+008, -3.01661133038E+001, +0.00000000000E+000
+2.47775250000E+008, -2.99300719791E+001, +0.00000000000E+000
+2.49650062500E+008, -2.98593743955E+001, +0.00000000000E+000
+2.51524875000E+008, -2.99455360462E+001, +0.00000000000E+000
+2.53399687500E+008, -3.01779031145E+001, +0.00000000000E+000
+2.55274500000E+008, -3.05247561090E+001, +0.00000000000E+000
+2.57149312500E+008, -3.09884653364E+001, +0.00000000000E+000
+2.59024125000E+008, -3.14768819020E+001, +0.00000000000E+000
+2.60898937500E+008, -3.19220239212E+001, +0.00000000000E+000
+2.62773750000E+008, -3.23449949822E+001, +0.00000000000E+000
+2.64648562500E+008, -3.26359355130E+001, +0.00000000000E+000
+2.66523375000E+008, -3.28813135044E+001, +0.00000000000E+000
+2.68398187500E+008, -3.30256856946E+001, +0.00000000000E+000
+2.70273000000E+008, -3.31251582500E+001, +0.00000000000E+000
+2.72147812500E+008, -3.31223227264E+001, +0.00000000000E+000
+2.74022625000E+008, -3.30766478279E+001, +0.00000000000E+000
+2.75897437500E+008, -3.29554405461E+001, +0.00000000000E+000
+2.77772250000E+008, -3.27837770185E+001, +0.00000000000E+000
+2.79647062500E+008, -3.25643302691E+001, +0.00000000000E+000
+2.81521875000E+008, -3.22476460213E+001, +0.00000000000E+000
+2.83396687500E+008, -3.19002271055E+001, +0.00000000000E+000
+2.85271500000E+008, -3.15271063729E+001, +0.00000000000E+000
+2.87146312500E+008, -3.11637138448E+001, +0.00000000000E+000
+2.89021125000E+008, -3.07865649528E+001, +0.00000000000E+000
+2.90895937500E+008, -3.04514556552E+001, +0.00000000000E+000
+2.92770750000E+008, -3.01374413441E+001, +0.00000000000E+000
+2.94645562500E+008, -2.98506305992E+001, +0.00000000000E+000
+2.96520375000E+008, -2.95824300102E+001, +0.00000000000E+000
+2.98395187500E+008, -2.93315832881E+001, +0.00000000000E+000
+3.00270000000E+008, -2.90127637353E+001, +0.00000000000E+000
+3.02144812500E+008, -2.86778887029E+001, +0.00000000000E+000
+3.04019625000E+008, -2.82609576903E+001, +0.00000000000E+000
+3.05894437500E+008, -2.78909044568E+001, +0.00000000000E+000
