"# Channel 2"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +8.66731431627E+000, +0.00000000000E+000
+2.17481250000E+006, +1.17553054086E+000, +0.00000000000E+000
+4.04962500000E+006, -2.14113917422E+000, +0.00000000000E+000
+5.92443750000E+006, -4.98330947191E+000, +0.00000000000E+000
+7.79925000000E+006, -7.81216142354E+000, +0.00000000000E+000
+9.67406250000E+006, -1.07867368299E+001, +0.00000000000E+000
+1.15488750000E+007, -1.38419012373E+001, +0.00000000000E+000
+1.34236875000E+007, -1.68477652462E+001, +0.00000000000E+000
+1.52985000000E+007, -1.98745796470E+001, +0.00000000000E+000
+1.71733125000E+007, -2.29426248514E+001, +0.00000000000E+000
+1.90481250000E+007, -2.60754544941E+001, +0.00000000000E+000
+2.09229375000E+007, -2.93378726505E+001, +0.00000000000E+000
+2.27977500000E+007, -3.27288473965E+001, +0.00000000000E+000
+2.46725625000E+007, -3.62305758895E+001, +0.00000000000E+000
+2.65473750000E+007, -3.96460911920E+001, +0.00000000000E+000
+2.84221875000E+007, -4.29354590109E+001, +0.00000000000E+000
+3.02970000000E+007, -4.64999519131E+001, +0.00000000000E+000
+3.21718125000E+007, -5.01859333160E+001, +0.00000000000E+000
+3.40466250000E+007, -5.40197268340E+001, +0.00000000000E+000
+3.59214375000E+007, -5.80722476283E+001, +0.00000000000E+000
+3.77962500000E+007, -6.23212457887E+001, +0.00000000000E+000
+3.96710625000E+007, -6.68613286573E+001, +0.00000000000E+000
+4.15458750000E+007, -7.16944007476E+001, +0.00000000000E+000
+4.34206875000E+007, -7.69202643817E+001, +0.00000000000E+000
+4.52955000000E+007, -8.25223974786E+001, +0.00000000000E+000
+4.71703125000E+007, -8.85964185999E+001, +0.00000000000E+000
+4.90451250000E+007, -9.51351232726E+001, +0.00000000000E+000
+5.09199375000E+007, -1.02125618544E+002, +0.00000000000E+000
+5.27947500000E+007, -1.09500515523E+002, +0.00000000000E+000
+5.46695625000E+007, -1.17170912536E+002, +0.00000000000E+000
+5.65443750000E+007, -1.25097011629E+002, +0.00000000000E+000
+5.84191875000E+007, -1.33225287428E+002, +0.00000000000E+000
+6.02940000000E+007, -1.41532988939E+002, +0.00000000000E+000
+6.21688125000E+007, -1.49970064547E+002, +0.00000000000E+000
+6.40436250000E+007, -1.58503521169E+002, +0.00000000000E+000
+6.59184375000E+007, -1.67126481197E+002, +0.00000000000E+000
+6.77932500000E+007, -1.75817658572E+002, +0.00000000000E+000
+6.96680625000E+007, +1.75457807155E+002, +0.00000000000E+000
+7.15428750000E+007, +1.66728989079E+002, +0.00000000000E+000
+7.34176875000E+007, +1.57988661905E+002, +0.00000000000E+000
+7.52925000000E+007, +1.49288142984E+002, +0.00000000000E+000
+7.71673125000E+007, +1.40625845544E+002, +0.00000000000E+000
+7.90421250000E+007, +1.32041840709E+002, +0.00000000000E+000
+8.09169375000E+007, +1.23519431376E+002, +0.00000000000E+000
+8.27917500000E+007, +1.15129575817E+002, +0.00000000000E+000
+8.46665625000E+007, +1.06884442543E+002, +0.00000000000E+000
+8.65413750000E+007, +9.88925336595E+001, +0.00000000000E+000
+8.84161875000E+007, +9.11615485785E+001, +0.00000000000E+000
+9.02910000000E+007, +8.38077534821E+001, +0.00000000000E+000
+9.21658125000E+007, +7.68188679579E+001, +0.00000000000E+000
+9.40406250000E+007, +7.02552530551E+001, +0.00000000000E+000
+9.59154375000E+007, +6.41398850855E+001, +0.00000000000E+000
+9.77902500000E+007, +5.84539489290E+001, +0.00000000000E+000
+9.96650625000E+007, +5.31478048908E+001, +0.00000000000E+000
+1.01539875000E+008, +4.81389479211E+001, +0.00000000000E+000
+1.03414687500E+008, +4.34107635092E+001, +0.00000000000E+000
+1.05289500000E+008, +3.89087979545E+001, +0.00000000000E+000
+1.07164312500E+008, +3.46233048297E+001, +0.00000000000E+000
+1.09039125000E+008, +3.05338583695E+001, +0.00000000000E+000
+1.10913937500E+008, +2.66408296736E+001, +0.00000000000E+000
+1.12788750000E+008, +2.29305276686E+001, +0.00000000000E+000
+1.14663562500E+008, +1.94200248111E+001, +0.00000000000E+000
+1.16538375000E+008, +1.60933564467E+001, +0.00000000000E+000
+1.18413187500E+008, +1.29829231504E+001, +0.00000000000E+000
+1.20288000000E+008, +1.00844621155E+001, +0.00000000000E+000
+1.22162812500E+008, +7.42157836165E+000, +0.00000000000E+000
+1.24037625000E+008, +5.00161107789E+000, +0.00000000000E+000
+1.25912437500E+008, +2.81732161038E+000, +0.00000000000E+000
+1.27787250000E+008, +8.81860288415E-001, +0.00000000000E+000
+1.29662062500E+008, -8.02534435011E-001, +0.00000000000E+000
+1.31536875000E+008, -2.25548387711E+000, +0.00000000000E+000
+1.33411687500E+008, -3.49521683903E+000, +0.00000000000E+000
+1.35286500000E+008, -4.54492991559E+000, +0.00000000000E+000
+1.37161312500E+008, -5.42606823712E+000, +0.00000000000E+000
+1.39036125000E+008, -6.18090977930E+000, +0.00000000000E+000
+1.40910937500E+008, -6.79313105769E+000, +0.00000000000E+000
+1.42785750000E+008, -7.31879036185E+000, +0.00000000000E+000
+1.44660562500E+008, -7.76994605979E+000, +0.00000000000E+000
+1.46535375000E+008, -8.16289577336E+000, +0.00000000000E+000
+1.48410187500E+008, -8.50618124996E+000, +0.00000000000E+000
+1.50285000000E+008, -8.84595517014E+000, +0.00000000000E+000
+1.52159812500E+008, -9.19101291746E+000, +0.00000000000E+000
+1.54034625000E+008, -9.54138935350E+000, +0.00000000000E+000
+1.55909437500E+008, -9.94801923839E+000, +0.00000000000E+000
+1.57784250000E+008, -1.04203169786E+001, +0.00000000000E+000
+1.59659062500E+008, -1.09651870360E+001, +0.00000000000E+000
+1.61533875000E+008, -1.16115699721E+001, +0.00000000000E+000
+1.63408687500E+008, -1.23886244686E+001, +0.00000000000E+000
+1.65283500000E+008, -1.33170209319E+001, +0.00000000000E+000
+1.67158312500E+008, -1.44122082095E+001, +0.00000000000E+000
+1.69033125000E+008, -1.57044877570E+001, +0.00000000000E+000
+1.70907937500E+008, -1.72166280922E+001, +0.00000000000E+000
+1.72782750000E+008, -1.89542348071E+001, +0.00000000000E+000
+1.74657562500E+008, -2.09281344083E+001, +0.00000000000E+000
+1.76532375000E+008, -2.31325187089E+001, +0.00000000000E+000
+1.78407187500E+008, -2.55668559604E+001, +0.00000000000E+000
+1.80282000000E+008, -2.82157368241E+001, +0.00000000000E+000
+1.82156812500E+008, -3.10671876883E+001, +0.00000000000E+000
+1.84031625000E+008, -3.41069554593E+001, +0.00000000000E+000
+1.85906437500E+008, -3.72983618214E+001, +0.00000000000E+000
+1.87781250000E+008, -4.06395506299E+001, +0.00000000000E+000
+1.89656062500E+008, -4.41159831254E+001, +0.00000000000E+000
+1.91530875000E+008, -4.76991041744E+001, +0.00000000000E+000
+1.93405687500E+008, -5.13873826309E+001, +0.00000000000E+000
+1.95280500000E+008, -5.51688609183E+001, +0.00000000000E+000
+1.97155312500E+008, -5.90349620135E+001, +0.00000000000E+000
+1.99030125000E+008, -6.29655123857E+001, +0.00000000000E+000
+2.00904937500E+008, -6.69746781122E+001, +0.00000000000E+000
+2.02779750000E+008, -7.10403482129E+001, +0.00000000000E+000
+2.04654562500E+008, -7.51534581964E+001, +0.00000000000E+000
+2.06529375000E+008, -7.93140055484E+001, +0.00000000000E+000
+2.08404187500E+008, -8.35329684805E+001, +0.00000000000E+000
+2.10279000000E+008, -8.77940021536E+001, +0.00000000000E+000
+2.12153812500E+008, -9.20967226428E+001, +0.00000000000E+000
+2.14028625000E+008, -9.64465631019E+001, +0.00000000000E+000
+2.15903437500E+008, -1.00838840609E+002, +0.00000000000E+000
+2.17778250000E+008, -1.05277465778E+002, +0.00000000000E+000
+2.19653062500E+008, -1.09780444419E+002, +0.00000000000E+000
+2.21527875000E+008, -1.14340905173E+002, +0.00000000000E+000
+2.23402687500E+008, -1.18989109304E+002, +0.00000000000E+000
+2.25277500000E+008, -1.23773728614E+002, +0.00000000000E+000
+2.27152312500E+008, -1.28767539153E+002, +0.00000000000E+000
+2.29027125000E+008, -1.34273419220E+002, +0.00000000000E+000
+2.30901937500E+008, -1.41108179444E+002, +0.00000000000E+000
+2.32776750000E+008, -1.50533663290E+002, +0.00000000000E+000
+2.34651562500E+008, -1.60982236965E+002, +0.00000000000E+000
+2.36526375000E+008, -1.71737617392E+002, +0.00000000000E+000
+2.38401187500E+008, +1.77277497860E+002, +0.00000000000E+000
+2.40276000000E+008, +1.66191632102E+002, +0.00000000000E+000
+2.42150812500E+008, +1.55046116222E+002, +0.00000000000E+000
+2.44025625000E+008, +1.43897683444E+002, +0.00000000000E+000
+2.45900437500E+008, +1.32687348308E+002, +0.00000000000E+000
+2.47775250000E+008, +1.21475869475E+002, +0.00000000000E+000
+2.49650062500E+008, +1.10244116471E+002, +0.00000000000E+000
+2.51524875000E+008, +9.90179152004E+001, +0.00000000000E+000
+2.53399687500E+008, +8.77821486473E+001, +0.00000000000E+000
+2.55274500000E+008, +7.65653757951E+001, +0.00000000000E+000
+2.57149312500E+008, +6.53638752507E+001, +0.00000000000E+000
+2.59024125000E+008, +5.41752355811E+001, +0.00000000000E+000
+2.60898937500E+008, +4.30119125702E+001, +0.00000000000E+000
+2.62773750000E+008, +3.18825407748E+001, +0.00000000000E+000
+2.64648562500E+008, +2.07817100291E+001, +0.00000000000E+000
+2.66523375000E+008, +9.76092278814E+000, +0.00000000000E+000
+2.68398187500E+008, -1.21023769878E+000, +0.00000000000E+000
+2.70273000000E+008, -1.20765561426E+001, +0.00000000000E+000
+2.72147812500E+008, -2.28013679605E+001, +0.00000000000E+000
+2.74022625000E+008, -3.32894103621E+001, +0.00000000000E+000
+2.75897437500E+008, -4.32381793389E+001, +0.00000000000E+000
+2.77772250000E+008, -5.18173883197E+001, +0.00000000000E+000
+2.79647062500E+008, -5.77622556210E+001, +0.00000000000E+000
+2.81521875000E+008, -6.26232021727E+001, +0.00000000000E+000
+2.83396687500E+008, -6.71228310475E+001, +0.00000000000E+000
+2.85271500000E+008, -7.13010815799E+001, +0.00000000000E+000
+2.87146312500E+008, -7.52888121219E+001, +0.00000000000E+000
+2.89021125000E+008, -7.91062456381E+001, +0.00000000000E+000
+2.90895937500E+008, -8.27665324963E+001, +0.00000000000E+000
+2.92770750000E+008, -8.62075793487E+001, +0.00000000000E+000
+2.94645562500E+008, -8.94295198255E+001, +0.00000000000E+000
+2.96520375000E+008, -9.23972636014E+001, +0.00000000000E+000
+2.98395187500E+008, -9.51021259642E+001, +0.00000000000E+000
+3.00270000000E+008, -9.74687715284E+001, +0.00000000000E+000
+3.02144812500E+008, -9.95103378368E+001, +0.00000000000E+000
+3.04019625000E+008, -1.01210799534E+002, +0.00000000000E+000
+3.05894437500E+008, -1.02596600085E+002, +0.00000000000E+000
+3.07769250000E+008, -1.03649896947E+002, +0.00000000000E+000
+3.09644062500E+008, -1.04455165911E+002, +0.00000000000E+000
+3.11518875000E+008, -1.05006963750E+002, +0.00000000000E+000
