"# Channel 3"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +9.25166874312E-009, +0.00000000000E+000
+2.17481250000E+006, +7.85722867745E-009, +0.00000000000E+000
+4.04962500000E+006, +6.74200084840E-009, +0.00000000000E+000
+5.92443750000E+006, +6.23319109661E-009, +0.00000000000E+000
+7.79925000000E+006, +5.95313682256E-009, +0.00000000000E+000
+9.67406250000E+006, +5.79057332866E-009, +0.00000000000E+000
+1.15488750000E+007, +5.65083131153E-009, +0.00000000000E+000
+1.34236875000E+007, +5.57259642807E-009, +0.00000000000E+000
+1.52985000000E+007, +5.50058880438E-009, +0.00000000000E+000
+1.71733125000E+007, +5.44795666729E-009, +0.00000000000E+000
+1.90481250000E+007, +5.39918534363E-009, +0.00000000000E+000
+2.09229375000E+007, +5.36337805071E-009, +0.00000000000E+000
+2.27977500000E+007, +5.33274757563E-009, +0.00000000000E+000
+2.46725625000E+007, +5.16128479307E-009, +0.00000000000E+000
+2.65473750000E+007, +4.98687291023E-009, +0.00000000000E+000
+2.84221875000E+007, +4.98473168046E-009, +0.00000000000E+000
+3.02970000000E+007, +4.97952552974E-009, +0.00000000000E+000
+3.21718125000E+007, +4.97441422530E-009, +0.00000000000E+000
+3.40466250000E+007, +4.97466884805E-009, +0.00000000000E+000
+3.59214375000E+007, +4.97124842377E-009, +0.00000000000E+000
+3.77962500000E+007, +4.96938448686E-009, +0.00000000000E+000
+3.96710625000E+007, +4.96658939890E-009, +0.00000000000E+000
+4.15458750000E+007, +4.96173028813E-009, +0.00000000000E+000
+4.34206875000E+007, +4.95485970602E-009, +0.00000000000E+000
+4.52955000000E+007, +4.95149497300E-009, +0.00000000000E+000
+4.71703125000E+007, +4.95435977286E-009, +0.00000000000E+000
+4.90451250000E+007, +4.94734187362E-009, +0.00000000000E+000
+5.09199375000E+007, +4.94242866788E-009, +0.00000000000E+000
+5.27947500000E+007, +4.93735953730E-009, +0.00000000000E+000
+5.46695625000E+007, +4.93945941074E-009, +0.00000000000E+000
+5.65443750000E+007, +4.93455857477E-009, +0.00000000000E+000
+5.84191875000E+007, +4.93100089848E-009, +0.00000000000E+000
+6.02940000000E+007, +4.92479054181E-009, +0.00000000000E+000
+6.21688125000E+007, +4.92021619960E-009, +0.00000000000E+000
+6.40436250000E+007, +4.91102032218E-009, +0.00000000000E+000
+6.59184375000E+007, +4.90396445707E-009, +0.00000000000E+000
+6.77932500000E+007, +4.90189188318E-009, +0.00000000000E+000
+6.96680625000E+007, +4.89832272376E-009, +0.00000000000E+000
+7.15428750000E+007, +4.89166227983E-009, +0.00000000000E+000
+7.34176875000E+007, +4.89215344449E-009, +0.00000000000E+000
+7.52925000000E+007, +4.88187615730E-009, +0.00000000000E+000
+7.71673125000E+007, +4.87683837924E-009, +0.00000000000E+000
+7.90421250000E+007, +4.87108571442E-009, +0.00000000000E+000
+8.09169375000E+007, +4.86615149867E-009, +0.00000000000E+000
+8.27917500000E+007, +4.86008234935E-009, +0.00000000000E+000
+8.46665625000E+007, +4.85596677114E-009, +0.00000000000E+000
+8.65413750000E+007, +4.85146794953E-009, +0.00000000000E+000
+8.84161875000E+007, +4.84980428433E-009, +0.00000000000E+000
+9.02910000000E+007, +4.83829838395E-009, +0.00000000000E+000
+9.21658125000E+007, +4.83608698353E-009, +0.00000000000E+000
+9.40406250000E+007, +4.83036189640E-009, +0.00000000000E+000
+9.59154375000E+007, +4.82351113486E-009, +0.00000000000E+000
+9.77902500000E+007, +4.82186557569E-009, +0.00000000000E+000
+9.96650625000E+007, +4.81252791120E-009, +0.00000000000E+000
+1.01539875000E+008, +4.80413252974E-009, +0.00000000000E+000
+1.03414687500E+008, +4.79899582671E-009, +0.00000000000E+000
+1.05289500000E+008, +4.79181384732E-009, +0.00000000000E+000
+1.07164312500E+008, +4.78636574757E-009, +0.00000000000E+000
+1.09039125000E+008, +4.78453993351E-009, +0.00000000000E+000
+1.10913937500E+008, +4.77847845762E-009, +0.00000000000E+000
+1.12788750000E+008, +4.77854850536E-009, +0.00000000000E+000
+1.14663562500E+008, +4.76647622740E-009, +0.00000000000E+000
+1.16538375000E+008, +4.76171619350E-009, +0.00000000000E+000
+1.18413187500E+008, +4.75857353160E-009, +0.00000000000E+000
+1.20288000000E+008, +4.74999028690E-009, +0.00000000000E+000
+1.22162812500E+008, +4.74687864836E-009, +0.00000000000E+000
+1.24037625000E+008, +4.74131911165E-009, +0.00000000000E+000
+1.25912437500E+008, +4.73653713544E-009, +0.00000000000E+000
+1.27787250000E+008, +4.73162846216E-009, +0.00000000000E+000
+1.29662062500E+008, +4.73205367847E-009, +0.00000000000E+000
+1.31536875000E+008, +4.72234208939E-009, +0.00000000000E+000
+1.33411687500E+008, +4.71537367340E-009, +0.00000000000E+000
+1.35286500000E+008, +4.71042103543E-009, +0.00000000000E+000
+1.37161312500E+008, +4.71000778840E-009, +0.00000000000E+000
+1.39036125000E+008, +4.70230585654E-009, +0.00000000000E+000
+1.40910937500E+008, +4.69632525865E-009, +0.00000000000E+000
+1.42785750000E+008, +4.68966357809E-009, +0.00000000000E+000
+1.44660562500E+008, +4.67967546370E-009, +0.00000000000E+000
+1.46535375000E+008, +4.68369362605E-009, +0.00000000000E+000
+1.48410187500E+008, +4.67822539461E-009, +0.00000000000E+000
+1.50285000000E+008, +4.66841441491E-009, +0.00000000000E+000
+1.52159812500E+008, +4.66909003964E-009, +0.00000000000E+000
+1.54034625000E+008, +4.66874606787E-009, +0.00000000000E+000
+1.55909437500E+008, +4.66417933158E-009, +0.00000000000E+000
+1.57784250000E+008, +4.65706546713E-009, +0.00000000000E+000
+1.59659062500E+008, +4.65173192299E-009, +0.00000000000E+000
+1.61533875000E+008, +4.64873426234E-009, +0.00000000000E+000
+1.63408687500E+008, +4.64702234708E-009, +0.00000000000E+000
+1.65283500000E+008, +4.64326541226E-009, +0.00000000000E+000
+1.67158312500E+008, +4.63460963874E-009, +0.00000000000E+000
+1.69033125000E+008, +4.63480027706E-009, +0.00000000000E+000
+1.70907937500E+008, +4.63216744671E-009, +0.00000000000E+000
+1.72782750000E+008, +4.62954867895E-009, +0.00000000000E+000
+1.74657562500E+008, +4.62468649413E-009, +0.00000000000E+000
+1.76532375000E+008, +4.61756651002E-009, +0.00000000000E+000
+1.78407187500E+008, +4.61499666232E-009, +0.00000000000E+000
+1.80282000000E+008, +4.60972230458E-009, +0.00000000000E+000
+1.82156812500E+008, +4.60721919140E-009, +0.00000000000E+000
+1.84031625000E+008, +4.60510259048E-009, +0.00000000000E+000
+1.85906437500E+008, +4.60457091428E-009, +0.00000000000E+000
+1.87781250000E+008, +4.60314048521E-009, +0.00000000000E+000
+1.89656062500E+008, +4.60373202443E-009, +0.00000000000E+000
+1.91530875000E+008, +4.60058023037E-009, +0.00000000000E+000
+1.93405687500E+008, +4.59327914315E-009, +0.00000000000E+000
+1.95280500000E+008, +4.59160846483E-009, +0.00000000000E+000
+1.97155312500E+008, +4.59108873765E-009, +0.00000000000E+000
+1.99030125000E+008, +4.58694116765E-009, +0.00000000000E+000
+2.00904937500E+008, +4.58487939817E-009, +0.00000000000E+000
+2.02779750000E+008, +4.58054020186E-009, +0.00000000000E+000
+2.04654562500E+008, +4.58293090309E-009, +0.00000000000E+000
+2.06529375000E+008, +4.57940402284E-009, +0.00000000000E+000
+2.08404187500E+008, +4.57915195300E-009, +0.00000000000E+000
+2.10279000000E+008, +4.57305258906E-009, +0.00000000000E+000
+2.12153812500E+008, +4.56843397859E-009, +0.00000000000E+000
+2.14028625000E+008, +4.56938523495E-009, +0.00000000000E+000
+2.15903437500E+008, +4.56829397152E-009, +0.00000000000E+000
+2.17778250000E+008, +4.56238830773E-009, +0.00000000000E+000
+2.19653062500E+008, +4.55748045137E-009, +0.00000000000E+000
+2.21527875000E+008, +4.55593290329E-009, +0.00000000000E+000
+2.23402687500E+008, +4.55529688362E-009, +0.00000000000E+000
+2.25277500000E+008, +4.55350765595E-009, +0.00000000000E+000
+2.27152312500E+008, +4.55660618844E-009, +0.00000000000E+000
+2.29027125000E+008, +4.54781525346E-009, +0.00000000000E+000
+2.30901937500E+008, +4.54414195383E-009, +0.00000000000E+000
+2.32776750000E+008, +4.54155566585E-009, +0.00000000000E+000
+2.34651562500E+008, +4.53742285920E-009, +0.00000000000E+000
+2.36526375000E+008, +4.53354868561E-009, +0.00000000000E+000
+2.38401187500E+008, +4.52730723767E-009, +0.00000000000E+000
+2.40276000000E+008, +4.52730703453E-009, +0.00000000000E+000
+2.42150812500E+008, +4.52749094672E-009, +0.00000000000E+000
+2.44025625000E+008, +4.52136483605E-009, +0.00000000000E+000
+2.45900437500E+008, +4.52188034865E-009, +0.00000000000E+000
+2.47775250000E+008, +4.51196878177E-009, +0.00000000000E+000
+2.49650062500E+008, +4.51095761027E-009, +0.00000000000E+000
+2.51524875000E+008, +4.50832461435E-009, +0.00000000000E+000
+2.53399687500E+008, +4.50937757585E-009, +0.00000000000E+000
+2.55274500000E+008, +4.50532296310E-009, +0.00000000000E+000
+2.57149312500E+008, +4.50511118674E-009, +0.00000000000E+000
+2.59024125000E+008, +4.50252696656E-009, +0.00000000000E+000
+2.60898937500E+008, +4.50652943042E-009, +0.00000000000E+000
+2.62773750000E+008, +4.49936390322E-009, +0.00000000000E+000
+2.64648562500E+008, +4.50373975191E-009, +0.00000000000E+000
+2.66523375000E+008, +4.50449874293E-009, +0.00000000000E+000
+2.68398187500E+008, +4.50186235088E-009, +0.00000000000E+000
+2.70273000000E+008, +4.49732283627E-009, +0.00000000000E+000
