"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -2.81287552562E+001, +0.00000000000E+000
+2.17481250000E+006, -2.81867162687E+001, +0.00000000000E+000
+4.04962500000E+006, -2.89174965031E+001, +0.00000000000E+000
+5.92443750000E+006, -2.99366336021E+001, +0.00000000000E+000
+7.79925000000E+006, -3.11946849050E+001, +0.00000000000E+000
+9.67406250000E+006, -3.26263783694E+001, +0.00000000000E+000
+1.15488750000E+007, -3.36151268248E+001, +0.00000000000E+000
+1.34236875000E+007, -3.39732547673E+001, +0.00000000000E+000
+1.52985000000E+007, -3.39466743692E+001, +0.00000000000E+000
+1.71733125000E+007, -3.37844019869E+001, +0.00000000000E+000
+1.90481250000E+007, -3.35977811656E+001, +0.00000000000E+000
+2.09229375000E+007, -3.34228187949E+001, +0.00000000000E+000
+2.27977500000E+007, -3.33148590899E+001, +0.00000000000E+000
+2.46725625000E+007, -3.35088219208E+001, +0.00000000000E+000
+2.65473750000E+007, -3.37099423209E+001, +0.00000000000E+000
+2.84221875000E+007, -3.39559030774E+001, +0.00000000000E+000
+3.02970000000E+007, -3.41780991287E+001, +0.00000000000E+000
+3.21718125000E+007, -3.44457556060E+001, +0.00000000000E+000
+3.40466250000E+007, -3.46491507806E+001, +0.00000000000E+000
+3.59214375000E+007, -3.49011984396E+001, +0.00000000000E+000
+3.77962500000E+007, -3.51259104756E+001, +0.00000000000E+000
+3.96710625000E+007, -3.54086084439E+001, +0.00000000000E+000
+4.15458750000E+007, -3.56709366955E+001, +0.00000000000E+000
+4.34206875000E+007, -3.58829734700E+001, +0.00000000000E+000
+4.52955000000E+007, -3.61104590002E+001, +0.00000000000E+000
+4.71703125000E+007, -3.63423190154E+001, +0.00000000000E+000
+4.90451250000E+007, -3.65787485717E+001, +0.00000000000E+000
+5.09199375000E+007, -3.68521661252E+001, +0.00000000000E+000
+5.27947500000E+007, -3.70757689144E+001, +0.00000000000E+000
+5.46695625000E+007, -3.73002501774E+001, +0.00000000000E+000
+5.65443750000E+007, -3.74853556677E+001, +0.00000000000E+000
+5.84191875000E+007, -3.76278894033E+001, +0.00000000000E+000
