"# Channel 2"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +8.55239884761E+001, +0.00000000000E+000
+2.17481250000E+006, +8.42550382216E+001, +0.00000000000E+000
+4.04962500000E+006, +8.13451496499E+001, +0.00000000000E+000
+5.92443750000E+006, +7.81577876044E+001, +0.00000000000E+000
+7.79925000000E+006, +7.48954559879E+001, +0.00000000000E+000
+9.67406250000E+006, +7.15837166684E+001, +0.00000000000E+000
+1.15488750000E+007, +6.82628272512E+001, +0.00000000000E+000
+1.34236875000E+007, +6.49222895035E+001, +0.00000000000E+000
+1.52985000000E+007, +6.15808546500E+001, +0.00000000000E+000
+1.71733125000E+007, +5.82306407928E+001, +0.00000000000E+000
+1.90481250000E+007, +5.48801252353E+001, +0.00000000000E+000
+2.09229375000E+007, +5.15301480511E+001, +0.00000000000E+000
+2.27977500000E+007, +4.81796686000E+001, +0.00000000000E+000
+2.46725625000E+007, +4.49447160209E+001, +0.00000000000E+000
+2.65473750000E+007, +4.15885923208E+001, +0.00000000000E+000
+2.84221875000E+007, +3.82263758981E+001, +0.00000000000E+000
+3.02970000000E+007, +3.48659631725E+001, +0.00000000000E+000
+3.21718125000E+007, +3.15056731165E+001, +0.00000000000E+000
+3.40466250000E+007, +2.81468578486E+001, +0.00000000000E+000
+3.59214375000E+007, +2.47930539162E+001, +0.00000000000E+000
+3.77962500000E+007, +2.14378418725E+001, +0.00000000000E+000
+3.96710625000E+007, +1.80859091299E+001, +0.00000000000E+000
+4.15458750000E+007, +1.47342741119E+001, +0.00000000000E+000
+4.34206875000E+007, +1.13896278490E+001, +0.00000000000E+000
+4.52955000000E+007, +8.04590817221E+000, +0.00000000000E+000
+4.71703125000E+007, +4.69922436955E+000, +0.00000000000E+000
+4.90451250000E+007, +1.36223457345E+000, +0.00000000000E+000
+5.09199375000E+007, -1.97491862181E+000, +0.00000000000E+000
+5.27947500000E+007, -5.30882150001E+000, +0.00000000000E+000
+5.46695625000E+007, -8.63739396120E+000, +0.00000000000E+000
+5.65443750000E+007, -1.19651259495E+001, +0.00000000000E+000
+5.84191875000E+007, -1.52857167047E+001, +0.00000000000E+000
+6.02940000000E+007, -1.86095231943E+001, +0.00000000000E+000
+6.21688125000E+007, -2.19276124914E+001, +0.00000000000E+000
+6.40436250000E+007, -2.52467648579E+001, +0.00000000000E+000
+6.59184375000E+007, -2.85613032646E+001, +0.00000000000E+000
+6.77932500000E+007, -3.18693976826E+001, +0.00000000000E+000
+6.96680625000E+007, -3.51759817998E+001, +0.00000000000E+000
+7.15428750000E+007, -3.84825581049E+001, +0.00000000000E+000
+7.34176875000E+007, -4.17832528453E+001, +0.00000000000E+000
+7.52925000000E+007, -4.50815836862E+001, +0.00000000000E+000
+7.71673125000E+007, -4.83724501943E+001, +0.00000000000E+000
+7.90421250000E+007, -5.16588008480E+001, +0.00000000000E+000
+8.09169375000E+007, -5.49425772407E+001, +0.00000000000E+000
+8.27917500000E+007, -5.82245863471E+001, +0.00000000000E+000
+8.46665625000E+007, -6.15033231357E+001, +0.00000000000E+000
+8.65413750000E+007, -6.47749211117E+001, +0.00000000000E+000
+8.84161875000E+007, -6.80416829752E+001, +0.00000000000E+000
+9.02910000000E+007, -7.13113468407E+001, +0.00000000000E+000
+9.21658125000E+007, -7.45750579268E+001, +0.00000000000E+000
+9.40406250000E+007, -7.78307412950E+001, +0.00000000000E+000
+9.59154375000E+007, -8.10854821329E+001, +0.00000000000E+000
+9.77902500000E+007, -8.43361045459E+001, +0.00000000000E+000
+9.96650625000E+007, -8.75853412070E+001, +0.00000000000E+000
+1.01539875000E+008, -9.08309106340E+001, +0.00000000000E+000
+1.03414687500E+008, -9.40709399558E+001, +0.00000000000E+000
+1.05289500000E+008, -9.73124902042E+001, +0.00000000000E+000
+1.07164312500E+008, -1.00542811373E+002, +0.00000000000E+000
+1.09039125000E+008, -1.03773965354E+002, +0.00000000000E+000
+1.10913937500E+008, -1.06996520941E+002, +0.00000000000E+000
+1.12788750000E+008, -1.10217531748E+002, +0.00000000000E+000
+1.14663562500E+008, -1.13435595132E+002, +0.00000000000E+000
+1.16538375000E+008, -1.16648651388E+002, +0.00000000000E+000
+1.18413187500E+008, -1.19855525015E+002, +0.00000000000E+000
+1.20288000000E+008, -1.23061907987E+002, +0.00000000000E+000
+1.22162812500E+008, -1.26263407548E+002, +0.00000000000E+000
+1.24037625000E+008, -1.29464499920E+002, +0.00000000000E+000
+1.25912437500E+008, -1.32664628467E+002, +0.00000000000E+000
+1.27787250000E+008, -1.35859505522E+002, +0.00000000000E+000
+1.29662062500E+008, -1.39049752710E+002, +0.00000000000E+000
+1.31536875000E+008, -1.42236755552E+002, +0.00000000000E+000
+1.33411687500E+008, -1.45420317179E+002, +0.00000000000E+000
+1.35286500000E+008, -1.48600114731E+002, +0.00000000000E+000
+1.37161312500E+008, -1.51775485750E+002, +0.00000000000E+000
+1.39036125000E+008, -1.54947706770E+002, +0.00000000000E+000
+1.40910937500E+008, -1.58120111819E+002, +0.00000000000E+000
+1.42785750000E+008, -1.61286476016E+002, +0.00000000000E+000
+1.44660562500E+008, -1.64447351946E+002, +0.00000000000E+000
+1.46535375000E+008, -1.67605426229E+002, +0.00000000000E+000
+1.48410187500E+008, -1.70764129358E+002, +0.00000000000E+000
+1.50285000000E+008, -1.73917597120E+002, +0.00000000000E+000
+1.52159812500E+008, -1.77067869920E+002, +0.00000000000E+000
+1.54034625000E+008, +1.79783121559E+002, +0.00000000000E+000
+1.55909437500E+008, +1.76639390145E+002, +0.00000000000E+000
+1.57784250000E+008, +1.73496738695E+002, +0.00000000000E+000
+1.59659062500E+008, +1.70362191080E+002, +0.00000000000E+000
+1.61533875000E+008, +1.67222636785E+002, +0.00000000000E+000
+1.63408687500E+008, +1.64088010838E+002, +0.00000000000E+000
+1.65283500000E+008, +1.60955330869E+002, +0.00000000000E+000
+1.67158312500E+008, +1.57823845902E+002, +0.00000000000E+000
+1.69033125000E+008, +1.54697057917E+002, +0.00000000000E+000
+1.70907937500E+008, +1.51570560832E+002, +0.00000000000E+000
+1.72782750000E+008, +1.48448020306E+002, +0.00000000000E+000
+1.74657562500E+008, +1.45329763784E+002, +0.00000000000E+000
+1.76532375000E+008, +1.42214352432E+002, +0.00000000000E+000
+1.78407187500E+008, +1.39100368447E+002, +0.00000000000E+000
+1.80282000000E+008, +1.35985266937E+002, +0.00000000000E+000
+1.82156812500E+008, +1.32873121378E+002, +0.00000000000E+000
+1.84031625000E+008, +1.29764486342E+002, +0.00000000000E+000
+1.85906437500E+008, +1.26656539024E+002, +0.00000000000E+000
+1.87781250000E+008, +1.23552807370E+002, +0.00000000000E+000
+1.89656062500E+008, +1.20446384184E+002, +0.00000000000E+000
+1.91530875000E+008, +1.17340844532E+002, +0.00000000000E+000
+1.93405687500E+008, +1.14236174467E+002, +0.00000000000E+000
+1.95280500000E+008, +1.11137878836E+002, +0.00000000000E+000
+1.97155312500E+008, +1.08040729667E+002, +0.00000000000E+000
+1.99030125000E+008, +1.04944163814E+002, +0.00000000000E+000
+2.00904937500E+008, +1.01847573346E+002, +0.00000000000E+000
+2.02779750000E+008, +9.87541710685E+001, +0.00000000000E+000
+2.04654562500E+008, +9.56619654405E+001, +0.00000000000E+000
+2.06529375000E+008, +9.25675189342E+001, +0.00000000000E+000
+2.08404187500E+008, +8.94802312039E+001, +0.00000000000E+000
+2.10279000000E+008, +8.63918745067E+001, +0.00000000000E+000
+2.12153812500E+008, +8.33067524019E+001, +0.00000000000E+000
+2.14028625000E+008, +8.02246585068E+001, +0.00000000000E+000
+2.15903437500E+008, +7.71422295312E+001, +0.00000000000E+000
+2.17778250000E+008, +7.40637447126E+001, +0.00000000000E+000
+2.19653062500E+008, +7.09843665903E+001, +0.00000000000E+000
+2.21527875000E+008, +6.79052866330E+001, +0.00000000000E+000
+2.23402687500E+008, +6.48292946701E+001, +0.00000000000E+000
+2.25277500000E+008, +6.17561006022E+001, +0.00000000000E+000
+2.27152312500E+008, +5.86857725397E+001, +0.00000000000E+000
+2.29027125000E+008, +5.56180715134E+001, +0.00000000000E+000
+2.30901937500E+008, +5.25508306970E+001, +0.00000000000E+000
+2.32776750000E+008, +4.94837288254E+001, +0.00000000000E+000
+2.34651562500E+008, +4.64191219940E+001, +0.00000000000E+000
+2.36526375000E+008, +4.33607333892E+001, +0.00000000000E+000
+2.38401187500E+008, +4.03017590357E+001, +0.00000000000E+000
+2.40276000000E+008, +3.72487777026E+001, +0.00000000000E+000
+2.42150812500E+008, +3.41945389030E+001, +0.00000000000E+000
+2.44025625000E+008, +3.11385867155E+001, +0.00000000000E+000
+2.45900437500E+008, +2.80925981114E+001, +0.00000000000E+000
+2.47775250000E+008, +2.50438437030E+001, +0.00000000000E+000
+2.49650062500E+008, +2.19975559460E+001, +0.00000000000E+000
+2.51524875000E+008, +1.89534513933E+001, +0.00000000000E+000
+2.53399687500E+008, +1.59087709591E+001, +0.00000000000E+000
+2.55274500000E+008, +1.28646006485E+001, +0.00000000000E+000
+2.57149312500E+008, +9.82135849767E+000, +0.00000000000E+000
+2.59024125000E+008, +6.78453603792E+000, +0.00000000000E+000
+2.60898937500E+008, +3.74506876999E+000, +0.00000000000E+000
+2.62773750000E+008, +7.08710812838E-001, +0.00000000000E+000
+2.64648562500E+008, -2.33037558207E+000, +0.00000000000E+000
+2.66523375000E+008, -5.37085463343E+000, +0.00000000000E+000
+2.68398187500E+008, -8.40632776551E+000, +0.00000000000E+000
+2.70273000000E+008, -1.14435057280E+001, +0.00000000000E+000
