"# Channel 3"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +3.88072590477E-009, +0.00000000000E+000
+2.17481250000E+006, +4.22601648155E-009, +0.00000000000E+000
+4.04962500000E+006, +4.58986659217E-009, +0.00000000000E+000
+5.92443750000E+006, +4.72626992029E-009, +0.00000000000E+000
+7.79925000000E+006, +4.78391664016E-009, +0.00000000000E+000
+9.67406250000E+006, +4.82656050259E-009, +0.00000000000E+000
+1.15488750000E+007, +4.85887002028E-009, +0.00000000000E+000
+1.34236875000E+007, +4.87783779867E-009, +0.00000000000E+000
+1.52985000000E+007, +4.89220316051E-009, +0.00000000000E+000
+1.71733125000E+007, +4.90381706937E-009, +0.00000000000E+000
+1.90481250000E+007, +4.91023289059E-009, +0.00000000000E+000
+2.09229375000E+007, +4.91709269603E-009, +0.00000000000E+000
+2.27977500000E+007, +4.92045619013E-009, +0.00000000000E+000
+2.46725625000E+007, +4.96520615417E-009, +0.00000000000E+000
+2.65473750000E+007, +5.00738505615E-009, +0.00000000000E+000
+2.84221875000E+007, +5.01096167705E-009, +0.00000000000E+000
+3.02970000000E+007, +4.99518512453E-009, +0.00000000000E+000
+3.21718125000E+007, +4.99353963020E-009, +0.00000000000E+000
+3.40466250000E+007, +4.98745810549E-009, +0.00000000000E+000
+3.59214375000E+007, +4.98447708181E-009, +0.00000000000E+000
+3.77962500000E+007, +4.98197506469E-009, +0.00000000000E+000
+3.96710625000E+007, +4.97448548420E-009, +0.00000000000E+000
+4.15458750000E+007, +4.97187310005E-009, +0.00000000000E+000
+4.34206875000E+007, +4.96894913191E-009, +0.00000000000E+000
+4.52955000000E+007, +4.95863415785E-009, +0.00000000000E+000
+4.71703125000E+007, +4.95929150875E-009, +0.00000000000E+000
+4.90451250000E+007, +4.95424207716E-009, +0.00000000000E+000
+5.09199375000E+007, +4.94993962797E-009, +0.00000000000E+000
+5.27947500000E+007, +4.94522670143E-009, +0.00000000000E+000
+5.46695625000E+007, +4.94084080961E-009, +0.00000000000E+000
+5.65443750000E+007, +4.93454299727E-009, +0.00000000000E+000
+5.84191875000E+007, +4.93109879770E-009, +0.00000000000E+000
+6.02940000000E+007, +4.92821630786E-009, +0.00000000000E+000
+6.21688125000E+007, +4.92365239250E-009, +0.00000000000E+000
+6.40436250000E+007, +4.91674065412E-009, +0.00000000000E+000
+6.59184375000E+007, +4.91204680865E-009, +0.00000000000E+000
+6.77932500000E+007, +4.90281370746E-009, +0.00000000000E+000
+6.96680625000E+007, +4.90260065878E-009, +0.00000000000E+000
+7.15428750000E+007, +4.89450199655E-009, +0.00000000000E+000
+7.34176875000E+007, +4.89056616665E-009, +0.00000000000E+000
+7.52925000000E+007, +4.88088679066E-009, +0.00000000000E+000
+7.71673125000E+007, +4.88198862376E-009, +0.00000000000E+000
+7.90421250000E+007, +4.87549043667E-009, +0.00000000000E+000
+8.09169375000E+007, +4.87194677646E-009, +0.00000000000E+000
+8.27917500000E+007, +4.86540545396E-009, +0.00000000000E+000
+8.46665625000E+007, +4.85990842773E-009, +0.00000000000E+000
+8.65413750000E+007, +4.85915742552E-009, +0.00000000000E+000
+8.84161875000E+007, +4.84816699942E-009, +0.00000000000E+000
+9.02910000000E+007, +4.84684127798E-009, +0.00000000000E+000
+9.21658125000E+007, +4.83609320964E-009, +0.00000000000E+000
+9.40406250000E+007, +4.83478386139E-009, +0.00000000000E+000
+9.59154375000E+007, +4.82825512157E-009, +0.00000000000E+000
+9.77902500000E+007, +4.82288629562E-009, +0.00000000000E+000
+9.96650625000E+007, +4.81102765139E-009, +0.00000000000E+000
+1.01539875000E+008, +4.80928638866E-009, +0.00000000000E+000
+1.03414687500E+008, +4.81155675769E-009, +0.00000000000E+000
+1.05289500000E+008, +4.79867985164E-009, +0.00000000000E+000
+1.07164312500E+008, +4.79371044205E-009, +0.00000000000E+000
+1.09039125000E+008, +4.78628785666E-009, +0.00000000000E+000
+1.10913937500E+008, +4.78445957452E-009, +0.00000000000E+000
+1.12788750000E+008, +4.77539668747E-009, +0.00000000000E+000
+1.14663562500E+008, +4.77219569208E-009, +0.00000000000E+000
+1.16538375000E+008, +4.76529136334E-009, +0.00000000000E+000
+1.18413187500E+008, +4.75907986445E-009, +0.00000000000E+000
+1.20288000000E+008, +4.75659802165E-009, +0.00000000000E+000
+1.22162812500E+008, +4.75091875537E-009, +0.00000000000E+000
+1.24037625000E+008, +4.74880307428E-009, +0.00000000000E+000
+1.25912437500E+008, +4.74115549307E-009, +0.00000000000E+000
+1.27787250000E+008, +4.73616418109E-009, +0.00000000000E+000
+1.29662062500E+008, +4.72674274845E-009, +0.00000000000E+000
+1.31536875000E+008, +4.72582362356E-009, +0.00000000000E+000
+1.33411687500E+008, +4.72309514787E-009, +0.00000000000E+000
+1.35286500000E+008, +4.71738851869E-009, +0.00000000000E+000
+1.37161312500E+008, +4.70621284899E-009, +0.00000000000E+000
+1.39036125000E+008, +4.70627097404E-009, +0.00000000000E+000
+1.40910937500E+008, +4.69844712680E-009, +0.00000000000E+000
+1.42785750000E+008, +4.69559279766E-009, +0.00000000000E+000
+1.44660562500E+008, +4.69673529885E-009, +0.00000000000E+000
+1.46535375000E+008, +4.69312653590E-009, +0.00000000000E+000
+1.48410187500E+008, +4.68843168803E-009, +0.00000000000E+000
+1.50285000000E+008, +4.67835677339E-009, +0.00000000000E+000
+1.52159812500E+008, +4.67683411409E-009, +0.00000000000E+000
+1.54034625000E+008, +4.67341137868E-009, +0.00000000000E+000
