"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -2.06977320290E+001, +0.00000000000E+000
+2.17481250000E+006, -2.48346555788E+001, +0.00000000000E+000
+4.04962500000E+006, -2.63688361306E+001, +0.00000000000E+000
+5.92443750000E+006, -2.74791217265E+001, +0.00000000000E+000
+7.79925000000E+006, -2.85545971071E+001, +0.00000000000E+000
+9.67406250000E+006, -2.97539757819E+001, +0.00000000000E+000
+1.15488750000E+007, -3.08197206449E+001, +0.00000000000E+000
+1.34236875000E+007, -3.17531986516E+001, +0.00000000000E+000
+1.52985000000E+007, -3.24677390552E+001, +0.00000000000E+000
+1.71733125000E+007, -3.29920355785E+001, +0.00000000000E+000
+1.90481250000E+007, -3.34571713015E+001, +0.00000000000E+000
+2.09229375000E+007, -3.39824963532E+001, +0.00000000000E+000
+2.27977500000E+007, -3.45062509290E+001, +0.00000000000E+000
+2.46725625000E+007, -3.53321951309E+001, +0.00000000000E+000
+2.65473750000E+007, -3.59191199924E+001, +0.00000000000E+000
+2.84221875000E+007, -3.64346284311E+001, +0.00000000000E+000
+3.02970000000E+007, -3.68759538489E+001, +0.00000000000E+000
+3.21718125000E+007, -3.72257570905E+001, +0.00000000000E+000
+3.40466250000E+007, -3.74738608247E+001, +0.00000000000E+000
+3.59214375000E+007, -3.76337091310E+001, +0.00000000000E+000
+3.77962500000E+007, -3.76862890329E+001, +0.00000000000E+000
+3.96710625000E+007, -3.76790477976E+001, +0.00000000000E+000
+4.15458750000E+007, -3.75493576137E+001, +0.00000000000E+000
+4.34206875000E+007, -3.73518016585E+001, +0.00000000000E+000
+4.52955000000E+007, -3.71358390992E+001, +0.00000000000E+000
+4.71703125000E+007, -3.68270107186E+001, +0.00000000000E+000
+4.90451250000E+007, -3.64976775181E+001, +0.00000000000E+000
+5.09199375000E+007, -3.61533718860E+001, +0.00000000000E+000
+5.27947500000E+007, -3.58086193460E+001, +0.00000000000E+000
+5.46695625000E+007, -3.54685794370E+001, +0.00000000000E+000
+5.65443750000E+007, -3.51639302844E+001, +0.00000000000E+000
+5.84191875000E+007, -3.48432352041E+001, +0.00000000000E+000
+6.02940000000E+007, -3.45187177157E+001, +0.00000000000E+000
+6.21688125000E+007, -3.42024167247E+001, +0.00000000000E+000
+6.40436250000E+007, -3.38682199182E+001, +0.00000000000E+000
+6.59184375000E+007, -3.34929018616E+001, +0.00000000000E+000
+6.77932500000E+007, -3.31233797635E+001, +0.00000000000E+000
+6.96680625000E+007, -3.27054563278E+001, +0.00000000000E+000
+7.15428750000E+007, -3.22753796733E+001, +0.00000000000E+000
