"# Channel 2"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -2.85043658763E-002, +0.00000000000E+000
+2.17481250000E+006, -3.71610122887E+000, +0.00000000000E+000
+4.04962500000E+006, -7.25439727740E+000, +0.00000000000E+000
+5.92443750000E+006, -1.07247514957E+001, +0.00000000000E+000
+7.79925000000E+006, -1.41635027446E+001, +0.00000000000E+000
+9.67406250000E+006, -1.75909023420E+001, +0.00000000000E+000
+1.15488750000E+007, -2.10110350545E+001, +0.00000000000E+000
+1.34236875000E+007, -2.44163521053E+001, +0.00000000000E+000
+1.52985000000E+007, -2.78097632909E+001, +0.00000000000E+000
+1.71733125000E+007, -3.12038911855E+001, +0.00000000000E+000
+1.90481250000E+007, -3.45853701439E+001, +0.00000000000E+000
+2.09229375000E+007, -3.79639206049E+001, +0.00000000000E+000
+2.27977500000E+007, -4.13440301961E+001, +0.00000000000E+000
+2.46725625000E+007, -4.47506741311E+001, +0.00000000000E+000
+2.65473750000E+007, -4.81392090167E+001, +0.00000000000E+000
+2.84221875000E+007, -5.15213428089E+001, +0.00000000000E+000
+3.02970000000E+007, -5.48926344098E+001, +0.00000000000E+000
+3.21718125000E+007, -5.82679346546E+001, +0.00000000000E+000
+3.40466250000E+007, -6.16356858149E+001, +0.00000000000E+000
+3.59214375000E+007, -6.49988182352E+001, +0.00000000000E+000
+3.77962500000E+007, -6.83597520930E+001, +0.00000000000E+000
+3.96710625000E+007, -7.17168391344E+001, +0.00000000000E+000
+4.15458750000E+007, -7.50693274352E+001, +0.00000000000E+000
+4.34206875000E+007, -7.84194842380E+001, +0.00000000000E+000
+4.52955000000E+007, -8.17625935536E+001, +0.00000000000E+000
+4.71703125000E+007, -8.51026956427E+001, +0.00000000000E+000
+4.90451250000E+007, -8.84416202436E+001, +0.00000000000E+000
+5.09199375000E+007, -9.17786540961E+001, +0.00000000000E+000
+5.27947500000E+007, -9.51145711912E+001, +0.00000000000E+000
+5.46695625000E+007, -9.84467850771E+001, +0.00000000000E+000
+5.65443750000E+007, -1.01772786699E+002, +0.00000000000E+000
+5.84191875000E+007, -1.05098910744E+002, +0.00000000000E+000
+6.02940000000E+007, -1.08422014460E+002, +0.00000000000E+000
+6.21688125000E+007, -1.11744415909E+002, +0.00000000000E+000
+6.40436250000E+007, -1.15063801533E+002, +0.00000000000E+000
+6.59184375000E+007, -1.18377406660E+002, +0.00000000000E+000
+6.77932500000E+007, -1.21689052771E+002, +0.00000000000E+000
+6.96680625000E+007, -1.24992821447E+002, +0.00000000000E+000
+7.15428750000E+007, -1.28297990020E+002, +0.00000000000E+000
+7.34176875000E+007, -1.31600636518E+002, +0.00000000000E+000
+7.52925000000E+007, -1.34901625210E+002, +0.00000000000E+000
+7.71673125000E+007, -1.38199619347E+002, +0.00000000000E+000
+7.90421250000E+007, -1.41490481464E+002, +0.00000000000E+000
+8.09169375000E+007, -1.44779581974E+002, +0.00000000000E+000
+8.27917500000E+007, -1.48068769967E+002, +0.00000000000E+000
+8.46665625000E+007, -1.51354169081E+002, +0.00000000000E+000
+8.65413750000E+007, -1.54636791181E+002, +0.00000000000E+000
+8.84161875000E+007, -1.57914610515E+002, +0.00000000000E+000
+9.02910000000E+007, -1.61191361969E+002, +0.00000000000E+000
+9.21658125000E+007, -1.64465396415E+002, +0.00000000000E+000
