"# Channel 3"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -1.30575056143E-008, +0.00000000000E+000
+2.17481250000E+006, -4.94170471388E-009, +0.00000000000E+000
+4.04962500000E+006, -2.30709121317E-009, +0.00000000000E+000
+5.92443750000E+006, -6.59446254345E-010, +0.00000000000E+000
+7.79925000000E+006, +4.18985046937E-010, +0.00000000000E+000
+9.67406250000E+006, +1.39721206119E-009, +0.00000000000E+000
+1.15488750000E+007, +1.87536226736E-009, +0.00000000000E+000
+1.34236875000E+007, +2.21146385621E-009, +0.00000000000E+000
+1.52985000000E+007, +2.53551872931E-009, +0.00000000000E+000
+1.71733125000E+007, +2.81287756702E-009, +0.00000000000E+000
+1.90481250000E+007, +3.08859147114E-009, +0.00000000000E+000
+2.09229375000E+007, +3.35477455952E-009, +0.00000000000E+000
+2.27977500000E+007, +3.66792052154E-009, +0.00000000000E+000
+2.46725625000E+007, +4.49077751592E-009, +0.00000000000E+000
+2.65473750000E+007, +5.41400712145E-009, +0.00000000000E+000
+2.84221875000E+007, +5.32677632923E-009, +0.00000000000E+000
+3.02970000000E+007, +5.80658479242E-009, +0.00000000000E+000
+3.21718125000E+007, +6.10124516071E-009, +0.00000000000E+000
+3.40466250000E+007, +6.50671051446E-009, +0.00000000000E+000
+3.59214375000E+007, +7.00606900232E-009, +0.00000000000E+000
+3.77962500000E+007, +7.61743884034E-009, +0.00000000000E+000
+3.96710625000E+007, +8.20425855997E-009, +0.00000000000E+000
+4.15458750000E+007, +8.87554680894E-009, +0.00000000000E+000
+4.34206875000E+007, +9.45016809986E-009, +0.00000000000E+000
+4.52955000000E+007, +1.00701179906E-008, +0.00000000000E+000
+4.71703125000E+007, +1.06391643388E-008, +0.00000000000E+000
+4.90451250000E+007, +1.10434824711E-008, +0.00000000000E+000
+5.09199375000E+007, +1.14110114710E-008, +0.00000000000E+000
+5.27947500000E+007, +1.16276753121E-008, +0.00000000000E+000
+5.46695625000E+007, +1.18639062685E-008, +0.00000000000E+000
+5.65443750000E+007, +1.19570462267E-008, +0.00000000000E+000
+5.84191875000E+007, +1.21197805461E-008, +0.00000000000E+000
+6.02940000000E+007, +1.21702798026E-008, +0.00000000000E+000
+6.21688125000E+007, +1.21890314991E-008, +0.00000000000E+000
+6.40436250000E+007, +1.21864307218E-008, +0.00000000000E+000
+6.59184375000E+007, +1.21938454820E-008, +0.00000000000E+000
+6.77932500000E+007, +1.21202602719E-008, +0.00000000000E+000
+6.96680625000E+007, +1.20426483302E-008, +0.00000000000E+000
+7.15428750000E+007, +1.19444326138E-008, +0.00000000000E+000
+7.34176875000E+007, +1.17450674094E-008, +0.00000000000E+000
+7.52925000000E+007, +1.15620063246E-008, +0.00000000000E+000
+7.71673125000E+007, +1.13198967363E-008, +0.00000000000E+000
+7.90421250000E+007, +1.10152070017E-008, +0.00000000000E+000
+8.09169375000E+007, +1.06308283281E-008, +0.00000000000E+000
+8.27917500000E+007, +1.01742984016E-008, +0.00000000000E+000
+8.46665625000E+007, +9.57713832931E-009, +0.00000000000E+000
+8.65413750000E+007, +8.96676046426E-009, +0.00000000000E+000
+8.84161875000E+007, +8.23824857147E-009, +0.00000000000E+000
+9.02910000000E+007, +7.57194336173E-009, +0.00000000000E+000
+9.21658125000E+007, +6.93683747548E-009, +0.00000000000E+000
+9.40406250000E+007, +6.34199287602E-009, +0.00000000000E+000
+9.59154375000E+007, +5.94698616182E-009, +0.00000000000E+000
+9.77902500000E+007, +5.52703623227E-009, +0.00000000000E+000
+9.96650625000E+007, +5.28591142703E-009, +0.00000000000E+000
+1.01539875000E+008, +4.98418711573E-009, +0.00000000000E+000
+1.03414687500E+008, +4.84762369484E-009, +0.00000000000E+000
+1.05289500000E+008, +4.61959370228E-009, +0.00000000000E+000
+1.07164312500E+008, +4.50670240148E-009, +0.00000000000E+000
+1.09039125000E+008, +4.39389991729E-009, +0.00000000000E+000
+1.10913937500E+008, +4.30359715549E-009, +0.00000000000E+000
+1.12788750000E+008, +4.18233219035E-009, +0.00000000000E+000
+1.14663562500E+008, +4.13706059229E-009, +0.00000000000E+000
+1.16538375000E+008, +4.04629114770E-009, +0.00000000000E+000
+1.18413187500E+008, +3.99852803057E-009, +0.00000000000E+000
+1.20288000000E+008, +3.93083535964E-009, +0.00000000000E+000
+1.22162812500E+008, +3.89628220766E-009, +0.00000000000E+000
+1.24037625000E+008, +3.83287105625E-009, +0.00000000000E+000
+1.25912437500E+008, +3.80270891654E-009, +0.00000000000E+000
+1.27787250000E+008, +3.76836195737E-009, +0.00000000000E+000
+1.29662062500E+008, +3.73215413221E-009, +0.00000000000E+000
+1.31536875000E+008, +3.72075194862E-009, +0.00000000000E+000
+1.33411687500E+008, +3.68696683148E-009, +0.00000000000E+000
+1.35286500000E+008, +3.67006619408E-009, +0.00000000000E+000
+1.37161312500E+008, +3.64682054124E-009, +0.00000000000E+000
+1.39036125000E+008, +3.61909166027E-009, +0.00000000000E+000
+1.40910937500E+008, +3.61169145770E-009, +0.00000000000E+000
+1.42785750000E+008, +3.60281539390E-009, +0.00000000000E+000
+1.44660562500E+008, +3.57933927717E-009, +0.00000000000E+000
+1.46535375000E+008, +3.57104005938E-009, +0.00000000000E+000
+1.48410187500E+008, +3.53732388082E-009, +0.00000000000E+000
+1.50285000000E+008, +3.53809713054E-009, +0.00000000000E+000
+1.52159812500E+008, +3.53621360965E-009, +0.00000000000E+000
+1.54034625000E+008, +3.53863248293E-009, +0.00000000000E+000
+1.55909437500E+008, +3.50859548480E-009, +0.00000000000E+000
+1.57784250000E+008, +3.54051463340E-009, +0.00000000000E+000
+1.59659062500E+008, +3.53735355451E-009, +0.00000000000E+000
+1.61533875000E+008, +3.53654740274E-009, +0.00000000000E+000
+1.63408687500E+008, +3.53167381257E-009, +0.00000000000E+000
+1.65283500000E+008, +3.55273658139E-009, +0.00000000000E+000
+1.67158312500E+008, +3.57094278888E-009, +0.00000000000E+000
+1.69033125000E+008, +3.58612344386E-009, +0.00000000000E+000
+1.70907937500E+008, +3.61678644633E-009, +0.00000000000E+000
+1.72782750000E+008, +3.65915376389E-009, +0.00000000000E+000
+1.74657562500E+008, +3.69574628539E-009, +0.00000000000E+000
+1.76532375000E+008, +3.81351286615E-009, +0.00000000000E+000
