"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, -4.67296737361E+001, +0.00000000000E+000
+2.17481250000E+006, -5.15582343917E+001, +0.00000000000E+000
+4.04962500000E+006, -5.32225525224E+001, +0.00000000000E+000
+5.92443750000E+006, -5.25803186878E+001, +0.00000000000E+000
+7.79925000000E+006, -5.13061148772E+001, +0.00000000000E+000
+9.67406250000E+006, -5.01963256502E+001, +0.00000000000E+000
+1.15488750000E+007, -4.91720747538E+001, +0.00000000000E+000
+1.34236875000E+007, -4.81512076483E+001, +0.00000000000E+000
+1.52985000000E+007, -4.72909001579E+001, +0.00000000000E+000
+1.71733125000E+007, -4.65825155659E+001, +0.00000000000E+000
+1.90481250000E+007, -4.59458848431E+001, +0.00000000000E+000
+2.09229375000E+007, -4.53810734627E+001, +0.00000000000E+000
+2.27977500000E+007, -4.48224440864E+001, +0.00000000000E+000
+2.46725625000E+007, -4.44826471179E+001, +0.00000000000E+000
+2.65473750000E+007, -4.37870080684E+001, +0.00000000000E+000
+2.84221875000E+007, -4.31839109941E+001, +0.00000000000E+000
+3.02970000000E+007, -4.21663538032E+001, +0.00000000000E+000
+3.21718125000E+007, -4.16820990315E+001, +0.00000000000E+000
+3.40466250000E+007, -4.08949870062E+001, +0.00000000000E+000
+3.59214375000E+007, -4.05038509701E+001, +0.00000000000E+000
+3.77962500000E+007, -4.00521223093E+001, +0.00000000000E+000
+3.96710625000E+007, -3.96439884001E+001, +0.00000000000E+000
+4.15458750000E+007, -3.92400392132E+001, +0.00000000000E+000
+4.34206875000E+007, -3.89061002843E+001, +0.00000000000E+000
+4.52955000000E+007, -3.85412765817E+001, +0.00000000000E+000
+4.71703125000E+007, -3.82684047376E+001, +0.00000000000E+000
+4.90451250000E+007, -3.79776193763E+001, +0.00000000000E+000
+5.09199375000E+007, -3.77959560630E+001, +0.00000000000E+000
+5.27947500000E+007, -3.75567573483E+001, +0.00000000000E+000
+5.46695625000E+007, -3.73708172246E+001, +0.00000000000E+000
+5.65443750000E+007, -3.71582711833E+001, +0.00000000000E+000
+5.84191875000E+007, -3.69343832984E+001, +0.00000000000E+000
+6.02940000000E+007, -3.67009470537E+001, +0.00000000000E+000
+6.21688125000E+007, -3.65103840905E+001, +0.00000000000E+000
+6.40436250000E+007, -3.62997333267E+001, +0.00000000000E+000
+6.59184375000E+007, -3.61314057353E+001, +0.00000000000E+000
+6.77932500000E+007, -3.59838108931E+001, +0.00000000000E+000
+6.96680625000E+007, -3.58282452355E+001, +0.00000000000E+000
+7.15428750000E+007, -3.56858143807E+001, +0.00000000000E+000
+7.34176875000E+007, -3.55404880975E+001, +0.00000000000E+000
+7.52925000000E+007, -3.54165028285E+001, +0.00000000000E+000
+7.71673125000E+007, -3.53316668708E+001, +0.00000000000E+000
+7.90421250000E+007, -3.52158545381E+001, +0.00000000000E+000
+8.09169375000E+007, -3.51250831010E+001, +0.00000000000E+000
+8.27917500000E+007, -3.50474708411E+001, +0.00000000000E+000
+8.46665625000E+007, -3.49369817224E+001, +0.00000000000E+000
+8.65413750000E+007, -3.48706369077E+001, +0.00000000000E+000
+8.84161875000E+007, -3.47614492955E+001, +0.00000000000E+000
+9.02910000000E+007, -3.46677069784E+001, +0.00000000000E+000
+9.21658125000E+007, -3.45917873900E+001, +0.00000000000E+000
+9.40406250000E+007, -3.45231269144E+001, +0.00000000000E+000
+9.59154375000E+007, -3.44120171698E+001, +0.00000000000E+000
+9.77902500000E+007, -3.43380584143E+001, +0.00000000000E+000
+9.96650625000E+007, -3.42335796456E+001, +0.00000000000E+000
+1.01539875000E+008, -3.41589270892E+001, +0.00000000000E+000
+1.03414687500E+008, -3.40716268310E+001, +0.00000000000E+000
+1.05289500000E+008, -3.40005180491E+001, +0.00000000000E+000
+1.07164312500E+008, -3.39310534494E+001, +0.00000000000E+000
+1.09039125000E+008, -3.38700770739E+001, +0.00000000000E+000
+1.10913937500E+008, -3.37771754452E+001, +0.00000000000E+000
+1.12788750000E+008, -3.37489929970E+001, +0.00000000000E+000
+1.14663562500E+008, -3.36822275469E+001, +0.00000000000E+000
+1.16538375000E+008, -3.36228150568E+001, +0.00000000000E+000
+1.18413187500E+008, -3.35548204136E+001, +0.00000000000E+000
+1.20288000000E+008, -3.35032435461E+001, +0.00000000000E+000
+1.22162812500E+008, -3.34379879734E+001, +0.00000000000E+000
+1.24037625000E+008, -3.33586149585E+001, +0.00000000000E+000
+1.25912437500E+008, -3.32937878170E+001, +0.00000000000E+000
+1.27787250000E+008, -3.32225275993E+001, +0.00000000000E+000
+1.29662062500E+008, -3.31537925468E+001, +0.00000000000E+000
+1.31536875000E+008, -3.31093988897E+001, +0.00000000000E+000
+1.33411687500E+008, -3.30572314271E+001, +0.00000000000E+000
+1.35286500000E+008, -3.30266181068E+001, +0.00000000000E+000
+1.37161312500E+008, -3.29834978686E+001, +0.00000000000E+000
+1.39036125000E+008, -3.29324449884E+001, +0.00000000000E+000
+1.40910937500E+008, -3.28733058195E+001, +0.00000000000E+000
+1.42785750000E+008, -3.28412027282E+001, +0.00000000000E+000
+1.44660562500E+008, -3.27906876445E+001, +0.00000000000E+000
+1.46535375000E+008, -3.27489221257E+001, +0.00000000000E+000
+1.48410187500E+008, -3.27096274228E+001, +0.00000000000E+000
+1.50285000000E+008, -3.26794150605E+001, +0.00000000000E+000
+1.52159812500E+008, -3.26737813232E+001, +0.00000000000E+000
+1.54034625000E+008, -3.26282401304E+001, +0.00000000000E+000
+1.55909437500E+008, -3.26201928082E+001, +0.00000000000E+000
+1.57784250000E+008, -3.25995760756E+001, +0.00000000000E+000
+1.59659062500E+008, -3.25576370070E+001, +0.00000000000E+000
+1.61533875000E+008, -3.25208193889E+001, +0.00000000000E+000
+1.63408687500E+008, -3.25074601863E+001, +0.00000000000E+000
+1.65283500000E+008, -3.24658242110E+001, +0.00000000000E+000
+1.67158312500E+008, -3.24619386187E+001, +0.00000000000E+000
+1.69033125000E+008, -3.24135477705E+001, +0.00000000000E+000
+1.70907937500E+008, -3.24156311733E+001, +0.00000000000E+000
