"# Channel 2"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+3.00000000000E+005, +6.71727444400E+001, +0.00000000000E+000
+2.17481250000E+006, +8.66857892707E+001, +0.00000000000E+000
+4.04962500000E+006, +8.43197380834E+001, +0.00000000000E+000
+5.92443750000E+006, +8.06284197059E+001, +0.00000000000E+000
+7.79925000000E+006, +7.65068124180E+001, +0.00000000000E+000
+9.67406250000E+006, +7.21138897418E+001, +0.00000000000E+000
+1.15488750000E+007, +6.76878946202E+001, +0.00000000000E+000
+1.34236875000E+007, +6.32627066321E+001, +0.00000000000E+000
+1.52985000000E+007, +5.87968255334E+001, +0.00000000000E+000
+1.71733125000E+007, +5.43134193933E+001, +0.00000000000E+000
+1.90481250000E+007, +4.98489040983E+001, +0.00000000000E+000
+2.09229375000E+007, +4.53602373214E+001, +0.00000000000E+000
+2.27977500000E+007, +4.08871664855E+001, +0.00000000000E+000
+2.46725625000E+007, +3.75150680730E+001, +0.00000000000E+000
+2.65473750000E+007, +3.26265301395E+001, +0.00000000000E+000
+2.84221875000E+007, +2.79003666096E+001, +0.00000000000E+000
+3.02970000000E+007, +2.33019401157E+001, +0.00000000000E+000
+3.21718125000E+007, +1.88299072669E+001, +0.00000000000E+000
+3.40466250000E+007, +1.42946115400E+001, +0.00000000000E+000
+3.59214375000E+007, +9.81231970725E+000, +0.00000000000E+000
+3.77962500000E+007, +5.32179016375E+000, +0.00000000000E+000
+3.96710625000E+007, +8.29724676643E-001, +0.00000000000E+000
+4.15458750000E+007, -3.64360791416E+000, +0.00000000000E+000
+4.34206875000E+007, -8.06059546518E+000, +0.00000000000E+000
+4.52955000000E+007, -1.25127405971E+001, +0.00000000000E+000
+4.71703125000E+007, -1.69374275670E+001, +0.00000000000E+000
+4.90451250000E+007, -2.13769242895E+001, +0.00000000000E+000
+5.09199375000E+007, -2.57940722136E+001, +0.00000000000E+000
+5.27947500000E+007, -3.02240995118E+001, +0.00000000000E+000
+5.46695625000E+007, -3.46143635288E+001, +0.00000000000E+000
+5.65443750000E+007, -3.90103418035E+001, +0.00000000000E+000
+5.84191875000E+007, -4.34060736098E+001, +0.00000000000E+000
+6.02940000000E+007, -4.78097715127E+001, +0.00000000000E+000
+6.21688125000E+007, -5.21809060662E+001, +0.00000000000E+000
+6.40436250000E+007, -5.65577956677E+001, +0.00000000000E+000
+6.59184375000E+007, -6.09180231660E+001, +0.00000000000E+000
+6.77932500000E+007, -6.52659937484E+001, +0.00000000000E+000
+6.96680625000E+007, -6.96239460048E+001, +0.00000000000E+000
+7.15428750000E+007, -7.39760355872E+001, +0.00000000000E+000
+7.34176875000E+007, -7.83127752161E+001, +0.00000000000E+000
+7.52925000000E+007, -8.26445282577E+001, +0.00000000000E+000
+7.71673125000E+007, -8.69757080776E+001, +0.00000000000E+000
+7.90421250000E+007, -9.12990687341E+001, +0.00000000000E+000
+8.09169375000E+007, -9.56154285077E+001, +0.00000000000E+000
+8.27917500000E+007, -9.99261370009E+001, +0.00000000000E+000
+8.46665625000E+007, -1.04236169014E+002, +0.00000000000E+000
+8.65413750000E+007, -1.08521632443E+002, +0.00000000000E+000
+8.84161875000E+007, -1.12834544644E+002, +0.00000000000E+000
+9.02910000000E+007, -1.17126449326E+002, +0.00000000000E+000
+9.21658125000E+007, -1.21410190158E+002, +0.00000000000E+000
+9.40406250000E+007, -1.25692343772E+002, +0.00000000000E+000
+9.59154375000E+007, -1.29979718957E+002, +0.00000000000E+000
+9.77902500000E+007, -1.34241956354E+002, +0.00000000000E+000
+9.96650625000E+007, -1.38507149206E+002, +0.00000000000E+000
+1.01539875000E+008, -1.42761127589E+002, +0.00000000000E+000
+1.03414687500E+008, -1.47018594252E+002, +0.00000000000E+000
+1.05289500000E+008, -1.51247171054E+002, +0.00000000000E+000
+1.07164312500E+008, -1.55491405075E+002, +0.00000000000E+000
+1.09039125000E+008, -1.59723583659E+002, +0.00000000000E+000
+1.10913937500E+008, -1.63958479683E+002, +0.00000000000E+000
+1.12788750000E+008, -1.68177489643E+002, +0.00000000000E+000
+1.14663562500E+008, -1.72408828142E+002, +0.00000000000E+000
+1.16538375000E+008, -1.76623500239E+002, +0.00000000000E+000
+1.18413187500E+008, +1.79159421916E+002, +0.00000000000E+000
+1.20288000000E+008, +1.74945580004E+002, +0.00000000000E+000
+1.22162812500E+008, +1.70730714925E+002, +0.00000000000E+000
+1.24037625000E+008, +1.66536215163E+002, +0.00000000000E+000
+1.25912437500E+008, +1.62327865865E+002, +0.00000000000E+000
+1.27787250000E+008, +1.58128179995E+002, +0.00000000000E+000
+1.29662062500E+008, +1.53926128822E+002, +0.00000000000E+000
+1.31536875000E+008, +1.49736219381E+002, +0.00000000000E+000
+1.33411687500E+008, +1.45544640303E+002, +0.00000000000E+000
+1.35286500000E+008, +1.41367981554E+002, +0.00000000000E+000
+1.37161312500E+008, +1.37196852164E+002, +0.00000000000E+000
+1.39036125000E+008, +1.33016541514E+002, +0.00000000000E+000
+1.40910937500E+008, +1.28853210366E+002, +0.00000000000E+000
+1.42785750000E+008, +1.24686978404E+002, +0.00000000000E+000
+1.44660562500E+008, +1.20524616063E+002, +0.00000000000E+000
+1.46535375000E+008, +1.16361471439E+002, +0.00000000000E+000
+1.48410187500E+008, +1.12203026249E+002, +0.00000000000E+000
+1.50285000000E+008, +1.08042034730E+002, +0.00000000000E+000
+1.52159812500E+008, +1.03885598543E+002, +0.00000000000E+000
+1.54034625000E+008, +9.97299884385E+001, +0.00000000000E+000
+1.55909437500E+008, +9.55804288380E+001, +0.00000000000E+000
+1.57784250000E+008, +9.14245380695E+001, +0.00000000000E+000
+1.59659062500E+008, +8.72862637126E+001, +0.00000000000E+000
+1.61533875000E+008, +8.31325952635E+001, +0.00000000000E+000
+1.63408687500E+008, +7.89908178214E+001, +0.00000000000E+000
+1.65283500000E+008, +7.48505219558E+001, +0.00000000000E+000
+1.67158312500E+008, +7.07079031227E+001, +0.00000000000E+000
+1.69033125000E+008, +6.65604890321E+001, +0.00000000000E+000
+1.70907937500E+008, +6.24164745060E+001, +0.00000000000E+000
+1.72782750000E+008, +5.82756674286E+001, +0.00000000000E+000
+1.74657562500E+008, +5.41435010210E+001, +0.00000000000E+000
+1.76532375000E+008, +5.00021566537E+001, +0.00000000000E+000
+1.78407187500E+008, +4.58708516885E+001, +0.00000000000E+000
+1.80282000000E+008, +4.17282341090E+001, +0.00000000000E+000
+1.82156812500E+008, +3.75827052179E+001, +0.00000000000E+000
+1.84031625000E+008, +3.34398869098E+001, +0.00000000000E+000
+1.85906437500E+008, +2.92955837414E+001, +0.00000000000E+000
+1.87781250000E+008, +2.51544971483E+001, +0.00000000000E+000
+1.89656062500E+008, +2.10147667075E+001, +0.00000000000E+000
+1.91530875000E+008, +1.68676954509E+001, +0.00000000000E+000
+1.93405687500E+008, +1.27250615008E+001, +0.00000000000E+000
+1.95280500000E+008, +8.57510764343E+000, +0.00000000000E+000
+1.97155312500E+008, +4.42273649234E+000, +0.00000000000E+000
+1.99030125000E+008, +2.73527827650E-001, +0.00000000000E+000
+2.00904937500E+008, -3.87800305302E+000, +0.00000000000E+000
+2.02779750000E+008, -8.02628409645E+000, +0.00000000000E+000
+2.04654562500E+008, -1.21774156755E+001, +0.00000000000E+000
+2.06529375000E+008, -1.63303313290E+001, +0.00000000000E+000
+2.08404187500E+008, -2.04940147294E+001, +0.00000000000E+000
+2.10279000000E+008, -2.46502360807E+001, +0.00000000000E+000
+2.12153812500E+008, -2.88067427545E+001, +0.00000000000E+000
+2.14028625000E+008, -3.29663900083E+001, +0.00000000000E+000
+2.15903437500E+008, -3.71311080379E+001, +0.00000000000E+000
+2.17778250000E+008, -4.12875463839E+001, +0.00000000000E+000
+2.19653062500E+008, -4.54520444595E+001, +0.00000000000E+000
+2.21527875000E+008, -4.96194362658E+001, +0.00000000000E+000
+2.23402687500E+008, -5.38001037124E+001, +0.00000000000E+000
+2.25277500000E+008, -5.79727415205E+001, +0.00000000000E+000
+2.27152312500E+008, -6.21544572430E+001, +0.00000000000E+000
+2.29027125000E+008, -6.63236151290E+001, +0.00000000000E+000
+2.30901937500E+008, -7.05108756881E+001, +0.00000000000E+000
+2.32776750000E+008, -7.46859793715E+001, +0.00000000000E+000
+2.34651562500E+008, -7.88752673467E+001, +0.00000000000E+000
+2.36526375000E+008, -8.30595228875E+001, +0.00000000000E+000
+2.38401187500E+008, -8.72523555344E+001, +0.00000000000E+000
+2.40276000000E+008, -9.14493909678E+001, +0.00000000000E+000
+2.42150812500E+008, -9.56497493786E+001, +0.00000000000E+000
+2.44025625000E+008, -9.98438655503E+001, +0.00000000000E+000
+2.45900437500E+008, -1.04049503552E+002, +0.00000000000E+000
+2.47775250000E+008, -1.08248313937E+002, +0.00000000000E+000
+2.49650062500E+008, -1.12461115962E+002, +0.00000000000E+000
+2.51524875000E+008, -1.16667267503E+002, +0.00000000000E+000
+2.53399687500E+008, -1.20888637721E+002, +0.00000000000E+000
+2.55274500000E+008, -1.25099937232E+002, +0.00000000000E+000
+2.57149312500E+008, -1.29314333311E+002, +0.00000000000E+000
+2.59024125000E+008, -1.33543216864E+002, +0.00000000000E+000
+2.60898937500E+008, -1.37764897288E+002, +0.00000000000E+000
+2.62773750000E+008, -1.41991330918E+002, +0.00000000000E+000
+2.64648562500E+008, -1.46228574294E+002, +0.00000000000E+000
+2.66523375000E+008, -1.50466755811E+002, +0.00000000000E+000
+2.68398187500E+008, -1.54714168568E+002, +0.00000000000E+000
+2.70273000000E+008, -1.58947884224E+002, +0.00000000000E+000
+2.72147812500E+008, -1.63189929572E+002, +0.00000000000E+000
+2.74022625000E+008, -1.67438393998E+002, +0.00000000000E+000
+2.75897437500E+008, -1.71684370354E+002, +0.00000000000E+000
+2.77772250000E+008, -1.75945905160E+002, +0.00000000000E+000
+2.79647062500E+008, +1.79799636766E+002, +0.00000000000E+000
+2.81521875000E+008, +1.75536503242E+002, +0.00000000000E+000
+2.83396687500E+008, +1.71261981892E+002, +0.00000000000E+000
+2.85271500000E+008, +1.66990851161E+002, +0.00000000000E+000
+2.87146312500E+008, +1.62729154826E+002, +0.00000000000E+000
+2.89021125000E+008, +1.58455944723E+002, +0.00000000000E+000
+2.90895937500E+008, +1.54189754844E+002, +0.00000000000E+000
+2.92770750000E+008, +1.49912861166E+002, +0.00000000000E+000
+2.94645562500E+008, +1.45636774633E+002, +0.00000000000E+000
+2.96520375000E+008, +1.41346021409E+002, +0.00000000000E+000
+2.98395187500E+008, +1.37075480912E+002, +0.00000000000E+000
+3.00270000000E+008, +1.32782054566E+002, +0.00000000000E+000
+3.02144812500E+008, +1.28494613485E+002, +0.00000000000E+000
+3.04019625000E+008, +1.24199872931E+002, +0.00000000000E+000
+3.05894437500E+008, +1.19919525579E+002, +0.00000000000E+000
+3.07769250000E+008, +1.15629957145E+002, +0.00000000000E+000
+3.09644062500E+008, +1.11346115893E+002, +0.00000000000E+000
+3.11518875000E+008, +1.07064162496E+002, +0.00000000000E+000
+3.13393687500E+008, +1.02783626736E+002, +0.00000000000E+000
+3.15268500000E+008, +9.85050496375E+001, +0.00000000000E+000
+3.17143312500E+008, +9.42217397549E+001, +0.00000000000E+000
+3.19018125000E+008, +8.99343442019E+001, +0.00000000000E+000
